country_code,longitude,latitude
ABW,-69.968338,12.52111
AFG,67.709953,33.93911
AGO,17.873887,-11.202692
AIA,-63.068615,18.220554
ALB,20.168331,41.153332
AND,1.601554,42.546245
ARE,53.847818,23.424076
ARG,-63.616672,-38.416097
ARM,45.038189,40.069099
ASM,-170.132217,-14.270972
ATG,-61.796428,17.060816
AUS,133.775136,-25.274398
AUT,14.550072,47.516231
AZE,47.576927,40.143105
BDI,29.918886,-3.373056
BEL,4.469936,50.503887
BEN,2.315834,9.30769
BFA,-1.561593,12.238333
BGD,90.356331,23.684994
BGR,25.48583,42.733883
BHR,50.637772,25.930414
BHS,-77.39628,25.03428
BIH,17.679076,43.915886
BLR,27.953389,53.709807
BLZ,-88.49765,17.189877
BMU,-64.75737,32.321384
BOL,-63.588653,-16.290154
BRA,-51.92528,-14.235004
BRB,-59.543198,13.193887
BTN,90.433601,27.514162
BWA,24.684866,-22.328474
CAF,20.939444,6.611111
CAN,-106.346771,56.130366
CHE,8.227512,46.818188
CHL,-71.542969,-35.675147
CHN,104.195397,35.86166
CIV,-5.54708,7.539989
CMR,12.354722,7.369722
COD,21.758664,-4.038333
COG,15.827659,-0.228021
COK,-159.777671,-21.236736
COL,-74.297333,4.570868
COM,43.872219,-11.875001
CPV,-24.013197,16.002082
CRI,-83.753428,9.748917
CUB,-77.781167,21.521757
CYM,-80.566956,19.513469
CYP,33.429859,35.126413
CZE,15.472962,49.817492
DEU,10.451526,51.165691
DJI,42.590275,11.825138
DMA,-61.370976,15.414999
DNK,9.501785,56.26392
DOM,-70.162651,18.735693
DZA,1.659626,28.033886
ECU,-78.183406,-1.831239
EGY,30.802498,26.820553
ERI,39.782334,15.179384
ESH,-12.885834,24.215527
ESP,-3.74922,40.463667
EST,25.013607,58.595272
ETH,40.489673,9.145
FIN,25.748151,61.92411
FJI,179.414413,-16.578193
FRA,2.213749,46.227638
FSM,150.550812,7.425554
GAB,11.609444,-0.803689
GBR,-3.435973,55.378051
GEO,43.356892,42.315407
GGY,-2.585278,49.465691
GHA,-1.023194,7.946527
GIB,-5.345374,36.137741
GIN,-9.696645,9.945587
GLP,-62.067641,16.995971
GMB,-15.310139,13.443182
GNB,-15.180413,11.803749
GNQ,10.267895,1.650801
GRC,21.824312,39.074208
GRD,-61.604171,12.262776
GRL,-42.604303,71.706936
GTM,-90.230759,15.783471
GUF,-53.125782,3.933889
GUM,144.793731,13.444304
GUY,-58.93018,4.860416
HKG,114.109497,22.396428
HND,-86.241905,15.199999
HRV,15.2,45.1
HTI,-72.285215,18.971187
HUN,19.503304,47.162494
IDN,113.921327,-0.789275
IMN,-4.548056,54.236107
IND,78.96288,20.593684
IRL,-8.24389,53.41291
IRN,53.688046,32.427908
IRQ,43.679291,33.223191
ISL,-19.020835,64.963051
ISR,34.851612,31.046051
ITA,12.56738,41.87194
JAM,-77.297508,18.109581
JEY,-2.13125,49.214439
JOR,36.238414,30.585164
JPN,138.252924,36.204824
KAZ,66.923684,48.019573
KEN,37.906193,-0.023559
KGZ,74.766098,41.20438
KHM,104.990963,12.565679
KIR,-168.734039,-3.370417
KNA,-62.782998,17.357822
KOR,127.766922,35.907757
KWT,47.481766,29.31166
LAO,102.495496,19.85627
LBN,35.862285,33.854721
LBR,-9.429499,6.428055
LBY,17.228331,26.3351
LCA,-60.978893,13.909444
LIE,9.555373,47.166
LKA,80.771797,7.873054
LSO,28.233608,-29.609988
LTU,23.881275,55.169438
LUX,6.129583,49.815273
LVA,24.603189,56.879635
MAC,113.543873,22.198745
MAR,-7.09262,31.791702
MCO,7.412841,43.750298
MDG,46.869107,-18.766947
MDV,73.22068,3.202778
MEX,-102.552784,23.634501
MHL,171.184478,7.131474
MLI,-3.996166,17.570692
MLT,14.375416,35.937496
MMR,95.956223,21.913965
MNE,19.37439,42.708678
MNG,103.846656,46.862496
MNP,145.38469,17.33083
MOZ,35.529562,-18.665695
MRT,-10.940835,21.00789
MSR,-62.187366,16.742498
MTQ,-61.024174,14.641528
MUS,57.552152,-20.348404
MWI,34.301525,-13.254308
MYS,101.975766,4.210484
MYT,45.166244,-12.8275
NAM,18.49041,-22.95764
NCL,165.618042,-20.904305
NER,8.081666,17.607789
NFK,167.954712,-29.040835
NGA,8.675277,9.081999
NIC,-85.207229,12.865416
NIU,-169.867233,-19.054445
NLD,5.291266,52.132633
NOR,8.468946,60.472024
NPL,84.124008,28.394857
NRU,166.931503,-0.522778
NZL,174.885971,-40.900557
OMN,55.923255,21.512583
PAK,69.345116,30.375321
PAN,-80.782127,8.537981
PER,-75.015152,-9.189967
PHL,121.774017,12.879721
PLW,134.58252,7.51498
PNG,143.95555,-6.314993
POL,19.145136,51.919438
PRI,-66.590149,18.220833
PRK,127.510093,40.339852
PRT,-8.224454,39.399872
PRY,-58.443832,-23.442503
PYF,-149.406843,-17.679742
QAT,51.183884,25.354826
REU,55.536384,-21.115141
ROU,24.96676,45.943161
RUS,105.318756,61.52401
RWA,29.873888,-1.940278
SAU,45.079162,23.885942
SDN,30.217636,12.862807
SEN,-14.452362,14.497401
SGP,103.819836,1.352083
SHN,-10.030696,-24.143474
SLB,160.156194,-9.64571
SLE,-11.779889,8.460555
SLV,-88.89653,13.794185
SMR,12.457777,43.94236
SOM,46.199616,5.152149
SPM,-56.27111,46.941936
SRB,21.005859,44.016521
SUR,-56.027783,3.919305
SVK,19.699024,48.669026
SVN,14.995463,46.151241
SWE,18.643501,60.128161
SWZ,31.465866,-26.522503
SYC,55.491977,-4.679574
SYR,38.996815,34.802075
TCA,-71.797928,21.694025
TCD,18.732207,15.454166
TGO,0.824782,8.619543
THA,100.992541,15.870032
TJK,71.276093,38.861034
TKL,-171.855881,-8.967363
TKM,59.556278,38.969719
TLS,125.727539,-8.874217
TON,-175.198242,-21.178986
TTO,-61.222503,10.691803
TUN,9.537499,33.886917
TUR,35.243322,38.963745
TUV,177.64933,-7.109535
TZA,34.888822,-6.369028
UGA,32.290275,1.373333
UKR,31.16558,48.379433
URY,-55.765835,-32.522779
USA,-95.712891,37.09024
UZB,64.585262,41.377491
VCT,-61.287228,12.984305
VEN,-66.58973,6.42375
VGB,-64.639968,18.420695
VNM,108.277199,14.058324
VUT,166.959158,-15.376706
WSM,-172.104629,-13.759029
YEM,48.516388,15.552727
ZAF,22.937506,-30.559482
ZMB,27.849332,-13.133897
ZWE,29.154857,-19.015438
