country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Austria ,2881.807132,2863.858658,2945.31333,2940.886275,2955.850193,3089.777336,3176.232657,3338.142657,3319.663531,3275.979389,3290.373148,3365.213225,3505.094438,3465.494311,2875.629529,2652.991983,2627.5919,2586.300411,2554.813863,2258.998198,2412.310457,2650.13607,2877.48943,2842.219624,3162.775831,3366.93938,3413.056338,3505.434093,3657.268704,3698.529562,3585.71544,3287.686801,2939.656952,2833.170027,2851.586095,2906.661441,2994.704498,3155.730422,3559.49578,4095.905907,3959.214318,4217.355523,3982.832375,4064.656287,4152.13784,1724.591852,1956.483429,2166.467365,2764.493962,3293.205387,3706.074894,3959.367603,3967.22063,4137.045846,4554.761968,5053.344053,5396.729369,5716.164264,5906.667441,6051.182928,6518.540003,6826.976959,6949.641676,7186.226059,7566.930484,7734.129898,8112.327859,8296.735339,8620.569914,9131.097674,9747.443648,10200.14447,10770.65683,11234.60427,11657.79142,11646.40846,12201.0039,12766.71648,12730.64231,13448.04406,13759.179,13717.92325,13961.1093,14393.94902,14439.38231,14752.42124,15080.78098,15312.63825,15754.38061,16359.89434,16894.58044,17262.63107,17409.04261,17339.45372,17669.83659,18096.42706,18511.93112,18918.16235,19613.07624,20268.21931,20961.72263,21093.92267,21407.44277,21554.85344,22080.30327,22582.94694,23388.29081,24234.638,24565.4845,23622.58169,24095.67625
Belgium ,3731.050007,3719.358036,3739.375054,3772.352723,3820.835309,3881.64,3917.472169,3932.069229,3932.620024,3970.920834,4063.866898,4148.264999,4206.388538,4219.54083,3923.332513,3858.079392,4080.434682,3519.110622,2861.279765,3389.4199,3961.993512,4056.306903,4413.479197,4533.240341,4637.788374,4665.552642,4783.595105,4923.259236,5139.470633,5054.21875,4978.618252,4860.409427,4607.451991,4680.509902,4623.796538,4894.201014,4913.320625,4960.958543,4832.349773,5149.617731,4561.75641,4358.011721,3996.797987,3906.600801,4112.138222,4332.845545,4573.503167,4800.371361,5023.85918,5193.39459,5462.204473,5746.921144,5668.236468,5818.152074,6029.108622,6280.222924,6422.455791,6494.635565,6441.830051,6608.281068,6952.087469,7252.831177,7583.09468,7862.459739,8340.770791,8559.392894,8775.952376,9071.835923,9415.524828,10018.20508,10610.82405,10969.55286,11502.50796,12169.96632,12642.96976,12440.78491,13122.31169,13189.94482,13553.92331,13860.6514,14467.4412,14278.75442,14474.49414,14473.91918,14832.62813,14977.37924,15195.40043,15540.92116,16251.71995,16743.91964,17196.97752,17450.63067,17645.19761,17406.49234,17901.6676,18269.83317,18487.35673,19138.65972,19474.91101,20127.57653,20809.35869,20920.25112,21162.97468,21294.78976,21954.94807,22304.69039,22867.0218,23496.54213,23701.29614,23020.27205,23556.8231
Denmark ,3016.610699,3104.202005,3141.06748,3290.297776,3325.580007,3345.97417,3401.798614,3486.281081,3552.100392,3642.516696,3705.083276,3856.660953,3812.226364,3912.168957,4110.407555,3777.947627,3891.258085,3616.58147,3458.597156,3859.628357,3991.989513,3826.054795,4166.351595,4558.811085,4528.194158,4378.379562,4597.682503,4657.92518,4785.467544,5075.355316,5340.787691,5359.240684,5169.392173,5290.528489,5402.070376,5479.688769,5574.760881,5668.46359,5762.390786,5992.95138,5116.283925,4573.745793,4628.531899,5079.951887,5543.104052,5066.13597,5776.664228,6034.848046,6133.016706,6494.368794,6943.104659,6936.486028,6955.237656,7291.590376,7371.311847,7395.359315,7438.758698,7965.094942,8095.222908,8637.155031,8811.831478,9311.866393,9747.360552,9731.660339,10559.57507,10953.3217,11159.77071,11436.51319,11836.74727,12530.55041,12685.55135,12933.58258,13538.35527,13945.4278,13751.22218,13621.12517,14466.36003,14655.4362,14825.69319,15313.47717,15227.32556,15096.14626,15563.29758,15966.22175,16675.92988,17384.11648,17993.24055,18023.32113,18224.3315,18261.33496,18452.42611,18643.7902,18949.44493,18870.4338,19847.26641,20350.02991,20809.66082,21387.53818,21770.86504,22255.43737,22966.11846,23048.49108,23074.60709,23079.65496,23525.71863,24016.88591,24748.72584,25060.28763,24788.59996,23275.489,23512.63149
Finland ,1668.480348,1636.178103,1591.303425,1685.789357,1730.986837,1741.823678,1794.328192,1834.48777,1828.937784,1884.303208,1906.447934,1939.132681,2022.401935,2110.670631,2000.617098,1881.677587,1893.037037,1580.888924,1369.8016,1658.229387,1845.529844,1884.452681,2058.01433,2186.79926,2224.043704,2328.194915,2391.808925,2557.117577,2707.235277,2716.817757,2665.633807,2580.597238,2549.763631,2701.64464,2988.37419,3092.661913,3278.775896,3441.179537,3589.443654,3407.697775,3220.41536,3322.210967,3327.173409,3696.72588,3684.57992,3449.515966,3682.991592,3716.845038,3957.195041,4143.257633,4253.286438,4571.195612,4674.489671,4651.640334,5001.552461,5196.816926,5295.326623,5490.055504,5474.333685,5753.521287,6230.3594,6657.918262,6818.966644,6993.994883,7306.733759,7669.600231,7824.497928,7946.598856,8092.997057,8877.575406,9576.869279,9764.698434,10447.53955,11085.10547,11361.29608,11441.30275,11358.40381,11354.52896,11558.90086,12331.54728,12948.95842,13134.05684,13484.75315,13766.87239,14106.71664,14522.06269,14819.45896,15382.23207,16087.91273,16945.69265,16866.37534,15767.88816,15136.11477,14942.82753,15424.26918,15976.98765,16496.66915,17472.30354,18306.52538,18981.00269,19950.89192,20360.39156,20683.00071,21053.13763,21879.09315,22478.60414,23434.46745,24651.34028,24694.05787,22561.73956,23290.48329
France,2875.68629,2826.494956,2775.290399,2830.547516,2846.708069,2894.020323,2943.281374,3070.32949,3044.949203,3166.814785,2965.207015,3249.577093,3514.493436,3484.769554,3236.336219,3248.066747,3463.330759,2978.927153,2395.5288,2811.375116,3226.921,3074.625765,3610.392314,3753.525677,4179.463508,4166.378207,4249.46851,4153.970518,4431.465311,4709.997963,4531.558399,4235.260463,3959.122862,4239.12583,4191.730942,4085.931187,4243.998067,4486.636728,4466.211463,4793.310501,4042.167878,3309.381894,2981.460838,2860.141231,2421.769357,2573.141637,3855.191735,4137.897861,4393.365361,4946.344744,5185.850699,5461.107741,5564.259911,5683.940683,5915.17959,6198.787824,6448.462727,6761.782424,6855.171507,6978.776908,7397.582861,7718.426413,8067.063154,8362.671366,8819.33667,9165.415044,9544.13579,9907.186575,10267.01807,10885.56441,11410.08899,11844.96109,12263.54596,12824.4239,13112.53492,12957.20508,13466.38601,13912.70367,14240.21098,14634.38252,14766.15859,14839.90686,15131.64084,15245.11434,15381.92938,15530.27084,15833.03658,16157.89012,16789.57296,17299.7008,17647.00523,17724.13539,17879.52249,17666.01847,17978.19967,18261.96131,18373.41769,18690.44426,19233.28587,19771.39217,20391.87707,20648.03442,20719.52566,20789.04693,21193.39975,21450.00068,21841.59189,22202.17253,22057.35045,21244.20731,21477.4774
Germany ,2984.759285,2871.332923,2893.467275,3008.157997,3083.353493,3104.045495,3152.137321,3244.873303,3254.311341,3274.705697,3347.647796,3408.404498,3523.693687,3648.006394,3059.290487,2899.012351,2934.50336,2952.079072,2983.157411,2586.271822,2795.595625,3077.82632,3330.98546,2749.578699,3198.82929,3531.678435,3604.636178,3941.099292,4089.994254,4051.406417,3973.357507,3651.513994,3361.677521,3555.787784,3858.211989,4119.812774,4450.741659,4684.922823,4993.596663,5406.243686,5402.505907,5711.149707,5739.927154,5889.647924,6083.747227,4514.283582,2216.84344,2436.091022,2833.717215,3282.463856,3880.887181,4205.811718,4552.602009,4905.087597,5246.799631,5796.972039,6176.63523,6492.214084,6736.765261,7176.68863,7705.233225,7952.160375,8222.121781,8385.523537,8822.353557,9185.72917,9387.599086,9396.681114,9864.450073,10440.36049,10839.14509,11076.76885,11480.84899,11966.46444,12063.03152,12040.6076,12683.84712,13071.90245,13455.31991,13993.30073,14114.03043,14148.59832,14039.64084,14328.8567,14783.18363,15139.76196,15469.01416,15701.37318,16160.11478,16558.12097,15928.8451,16649.5235,16890.56051,16644.68024,17027.78617,17298.81911,17420.22081,17708.52522,18028.88074,18380.04362,18943.51638,19156.6899,19140.37835,19087.57224,19283.67049,19417.05702,20040.62032,20546.93611,20801.43744,19789.84544,20661.44544
Italy,1854.688438,1885.207558,1915.135239,1932.491498,1966.435227,2006.746723,2074.706561,2111.640849,2156.211372,2173.41734,2175.517608,2199.16121,2201.376559,2304.792757,2179.156425,2069.693719,2240.260297,2247.153255,2190.668137,2102.737999,2152.784285,2079.500013,2231.231754,2413.77676,2456.980271,2602.34143,2600.22774,2530.702905,2666.199738,2777.989637,2630.982256,2578.904746,2615.1749,2565.061393,2538.052641,2654.107925,2540.304405,2772.273808,2830.122203,2980.824961,2897.09292,2822.256568,2648.294967,2233.864462,1797.188276,1608.634638,2161.679895,2555.551323,2735.258562,2948.366982,3171.70207,3450.709971,3590.602717,3829.820934,3947.212343,4189.735516,4368.007908,4590.974041,4822.883142,5130.814034,5456.190048,5852.674923,6203.007071,6531.859976,6727.938954,6963.939321,7366.023312,7872.31376,8382.405286,8879.374047,9366.59635,9489.247578,9795.126256,10413.54967,10913.87795,10618.98248,11307.66354,11541.91781,11869.49023,12532.28817,12927.018,13018.32219,13064.01326,13208.59719,13634.09493,14009.77272,14408.10528,14867.91937,15484.70301,15996.87735,16313.12751,16562.94803,16634.00746,16440.83835,16761.73957,17216.59527,17378.12044,17675.65493,17908.53959,18140.51642,18761.3716,19062.43992,19100.47105,19006.70849,19210.5197,19283.73317,19629.60635,19841.53867,19460.49585,18278.62558,18520.42512
Netherlands,3328.961438,3440.439865,3532.27153,3478.000469,3475.991273,3597.729172,3620.071433,3508.33595,3530.825921,3671.254266,3782.947209,3862.703909,3918.059433,4048.507463,3868.283416,3925.681001,3956.187078,3626.613315,3352.219342,4121.883909,4219.902161,4431.396474,4599.215017,4634.998601,4895.494906,5030.976785,5357.759336,5504.198126,5719.598906,5688.790799,5602.530441,5185.049381,5035.238828,4956.462304,4804.907085,4929.455774,5189.67884,5432.696825,5249.601036,5543.976885,4831.35995,4531.200089,4106.7286,3980.51851,2649.173842,2686.259447,4456.628289,5048.07892,5490.204082,5880.474086,5996.12776,6031.968439,6083.805915,6542.532753,6906.865322,7325.844804,7498.518507,7613.55741,7482.071624,7736.675444,8286.609786,8201.508191,8639.309404,8832.216304,9437.195311,9797.835991,9936.249478,10341.25909,10894.34076,11462.13004,11966.77341,12319.36938,12597.19334,13081.2409,13497.42374,13373.62795,13884.9098,14176.86826,14424.01868,14647.25379,14704.50055,14525.0799,14291.4933,14483.25316,14899.69988,15282.87851,15617.07056,15737.03547,16043.53101,16695.23555,17262.06918,17547.90432,17719.66846,17823.66395,18222.90474,18696.69735,19247.86821,19972.66125,20630.88738,21456.94928,22148.20084,22410.66506,22290.72528,22267.40798,22695.82597,23113.73627,23867.01078,24756.36244,25112.31153,24073.41548,24302.61796
Norway ,1876.687954,1902.131747,1914.361441,1891.492507,1887.66147,1892.097256,1962.05306,2038.469992,2088.039587,2114.712196,2185.965971,2255.090395,2344.458414,2447.064977,2472.279464,2554.23106,2627.837432,2361.311572,2242.881649,2601.956788,2739.061063,2442.899665,2678.080112,2732.124831,2715.120822,2863.155241,2889.272777,2985.56728,3105.901656,3387.390268,3627.104572,3323.45734,3466.557562,3533.552626,3638.015578,3799.626701,4035.127011,4193.036522,4262.209757,4440.631309,4038.092196,4112.47314,3927.694536,3820.17679,3587.542429,3979.865523,4335.369531,4864.262941,5143.894237,5227.197881,5429.510033,5670.275908,5813.921634,5985.189448,6225.503335,6301.378929,6575.161222,6711.486441,6652.325037,6874.477852,7203.721737,7594.662505,7746.04395,7981.694502,8315.945521,8689.788208,8945.219909,9422.753223,9551.198519,9899.294776,10027.23087,10472.39164,10921.91585,11324.42307,11726.19884,12271.31779,12930.00603,13424.93283,13840.21049,14411.26215,15076.03294,15169.3848,15145.30141,15635.7829,16512.69986,17319.67816,17882.07024,18164.34824,18059.10797,18156.69966,18466.01022,18951.36247,19506.31771,19930.8412,20818.4862,21578.25469,22563.88544,23649.02047,24135.28037,24455.05648,25087.59906,25457.663,25723.89259,25863.90438,26775.76204,27358.44887,27921.17454,28555.95482,28464.30801,27893.19907,27987.20145
Sweden ,2083.027627,2137.084467,2108.933739,2219.655339,2257.831688,2225.413197,2403.433388,2563.377012,2484.404086,2497.317996,2543.128515,2606.408279,2705.307971,2874.078998,2935.06639,3036.998392,3205.494453,3010.525378,2782.245137,2824.655477,3004.167171,2849.533428,3053.63986,3151.339262,3366.498759,3442.96005,3610.616075,3728.04024,3834.659346,4062.727558,4237.690981,4129.224155,3967.884265,4033.433068,4294.083698,4491.728388,4640.374972,4754.856294,4900.869956,5251.155897,4854.63768,4711.672961,4740.520133,4880.285361,5011.080464,5145.115724,5645.518038,6091.26166,6161.899533,6353.205402,6739.226206,6948.845087,6996.113504,7144.570283,7402.103559,7565.553489,7797.06202,8092.425107,8082.85442,8287.930166,8687.503342,9136.968085,9468.775747,9916.850005,10515.37914,10815.18261,10935.60286,11219.21522,11561.2306,12055.19062,12716.34257,12748.43085,13001.75197,13493.56071,13884.58635,14183.33929,14281.63132,14003.62352,14207.36172,14721.01783,14936.58,14916.54939,15057.54775,15314.50841,15908.31178,16188.54666,16505.22956,16948.84461,17232.27548,17524.05504,17608.90241,17276.29206,16969.00286,16524.27793,17066.26515,17645.71762,17901.2891,18374.99354,19136.77005,20012.53004,20871.2466,21096.05343,21585.52542,22049.97821,22942.61217,23627.36773,24602.14715,25376.7419,25181.20391,23877.51514,25306.37113
