country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Austria ,0.058,0.056,0.058,0.057,0.052,0.043,0.042,0.038,0.039,0.042,0.041,0.041,0.045,0.046,0.044,0.042,0.042,0.044,0.040,0.039,0.035,0.030,0.026,0.025,0.022,0.024,0.021,0.018,0.022,0.020,0.021,0.023,0.022,0.019,0.020,0.021,0.021,0.021,0.022,0.022,0.022
Belgium ,0.024,0.024,0.030,0.031,0.033,0.031,0.032,0.034,0.039,0.042,0.043,0.042,0.043,0.045,0.042,0.038,0.041,0.038,0.037,0.033,0.031,0.027,0.023,0.017,0.016,0.019,0.015,0.017,0.018,0.019,0.017,0.020,0.020,0.019,0.019,0.020,0.020,0.021,0.018,0.019,0.019
Denmark ,0.024,0.030,0.034,0.029,0.037,0.040,0.041,0.037,0.039,0.038,0.037,0.033,0.033,0.037,0.027,0.022,0.026,0.025,0.023,0.020,0.018,0.016,0.014,0.014,0.019,0.025,0.022,0.021,0.021,0.018,0.019,0.021,0.020,0.017,0.018,0.016,0.015,0.017,0.018,0.020,0.022
Finland ,0.039,0.038,0.038,0.042,0.039,0.040,0.040,0.038,0.040,0.044,0.044,0.039,0.044,0.047,0.045,0.041,0.038,0.036,0.036,0.033,0.031,0.030,0.026,0.022,0.022,0.024,0.027,0.031,0.034,0.032,0.027,0.018,0.012,0.008,0.009,0.010,0.011,0.013,0.013,0.011,0.017
France,0.036,0.035,0.038,0.039,0.041,0.040,0.040,0.039,0.041,0.045,0.044,0.044,0.043,0.044,0.040,0.035,0.035,0.035,0.033,0.030,0.026,0.023,0.021,0.017,0.016,0.018,0.016,0.015,0.017,0.017,0.018,0.018,0.017,0.015,0.016,0.016,0.015,0.015,0.014,0.013,0.015
Germany ,0.071,0.066,0.061,0.055,0.053,0.047,0.043,0.038,0.039,0.038,0.035,0.034,0.034,0.036,0.032,0.027,0.031,0.034,0.032,0.030,0.027,0.025,0.020,0.018,0.021,0.023,0.020,0.018,0.018,0.017,0.012,0.016,0.019,0.015,0.014,0.013,0.012,0.012,0.011,0.010,0.017
North Italy,0.056,0.054,0.056,0.055,0.055,0.052,0.054,0.055,0.057,0.056,0.056,0.050,0.047,0.048,0.050,0.043,0.044,0.039,0.035,0.035,0.033,0.032,0.029,0.024,0.023,0.028,0.025,0.026,0.027,0.025,0.024,0.024,0.024,0.022,0.021,0.021,0.019,0.017,0.015,0.013,0.014
Netherlands,0.033,0.031,0.036,0.030,0.032,0.030,0.029,0.031,0.038,0.040,0.037,0.042,0.038,0.040,0.036,0.032,0.034,0.032,0.028,0.025,0.021,0.017,0.013,0.010,0.010,0.013,0.012,0.010,0.011,0.013,0.016,0.019,0.022,0.021,0.020,0.020,0.021,0.024,0.025,0.025,0.025
Norway ,0.029,0.030,0.029,0.029,0.029,0.033,0.031,0.035,0.037,0.037,0.034,0.033,0.035,0.036,0.035,0.035,0.038,0.036,0.038,0.038,0.042,0.038,0.033,0.033,0.035,0.035,0.033,0.031,0.027,0.023,0.020,0.023,0.026,0.025,0.023,0.022,0.024,0.027,0.029,0.030,0.031
Sweden ,0.026,0.028,0.031,0.033,0.036,0.036,0.034,0.033,0.036,0.038,0.039,0.034,0.032,0.031,0.028,0.027,0.027,0.022,0.021,0.020,0.016,0.016,0.015,0.013,0.014,0.013,0.015,0.019,0.019,0.018,0.017,0.015,0.012,0.008,0.007,0.009,0.008,0.008,0.011,0.013,0.017
Switzerland ,0.032,0.031,0.033,0.034,0.033,0.029,0.026,0.025,0.031,0.031,0.031,0.029,0.029,0.029,0.026,0.017,0.015,0.016,0.014,0.012,0.011,0.009,0.004,0.002,0.003,0.013,0.014,0.012,0.014,0.015,0.014,0.010,0.011,0.010,0.008,0.005,0.004,0.006,0.007,0.004,0.005
UK,0.022,0.022,0.023,0.022,0.023,0.022,0.022,0.023,0.027,0.025,0.022,0.021,0.025,0.028,0.022,0.020,0.021,0.021,0.021,0.022,0.018,0.015,0.014,0.011,0.015,0.018,0.020,0.022,0.023,0.022,0.024,0.024,0.022,0.021,0.022,0.022,0.020,0.022,0.020,0.021,0.025
Ireland ,0.022,0.024,0.024,0.026,0.028,0.026,0.027,0.032,0.041,0.042,0.038,0.035,0.037,0.036,0.035,0.038,0.037,0.038,0.036,0.032,0.033,0.032,0.028,0.024,0.025,0.024,0.024,0.022,0.022,0.027,0.033,0.032,0.034,0.037,0.038,0.045,0.052,0.057,0.058,0.060,0.059
Greece ,0.051,0.051,0.055,0.052,0.058,0.060,0.058,0.056,0.059,0.066,0.070,0.069,0.078,0.071,0.059,0.055,0.055,0.052,0.051,0.044,0.037,0.030,0.018,0.015,0.021,0.019,0.015,0.013,0.012,0.013,0.011,0.014,0.014,0.012,0.011,0.010,0.011,0.015,0.014,0.014,0.019
Portugal ,0.035,0.037,0.044,0.043,0.045,0.049,0.050,0.054,0.062,0.060,0.064,0.065,0.067,0.073,0.066,0.050,0.050,0.048,0.042,0.045,0.039,0.033,0.027,0.016,0.014,0.025,0.024,0.025,0.030,0.030,0.030,0.034,0.033,0.030,0.033,0.034,0.033,0.031,0.028,0.026,0.025
Spain ,0.034,0.037,0.040,0.051,0.053,0.055,0.054,0.058,0.059,0.071,0.075,0.068,0.065,0.063,0.061,0.058,0.054,0.052,0.049,0.042,0.038,0.033,0.027,0.022,0.016,0.015,0.015,0.018,0.020,0.025,0.027,0.030,0.029,0.026,0.027,0.031,0.030,0.028,0.027,0.027,0.027
Australia ,0.017,0.014,0.020,0.023,0.024,0.024,0.024,0.029,0.030,0.030,0.032,0.036,0.032,0.032,0.028,0.026,0.028,0.024,0.021,0.022,0.018,0.018,0.015,0.010,0.015,0.017,0.015,0.019,0.020,0.018,0.018,0.013,0.017,0.021,0.019,0.017,0.019,0.019,0.020,0.020,0.022
N. Zealand ,0.011,0.024,0.022,0.026,0.018,0.022,0.024,0.017,0.014,0.018,0.017,0.017,0.020,0.021,0.021,0.014,0.011,0.012,0.013,0.007,0.010,0.011,0.009,0.006,0.006,0.009,0.009,0.015,0.014,0.012,0.010,0.004,0.003,0.006,0.006,0.009,0.009,0.010,0.011,0.016,0.019
Canada,0.018,0.016,0.017,0.018,0.026,0.025,0.024,0.026,0.030,0.032,0.032,0.036,0.035,0.038,0.036,0.032,0.031,0.032,0.032,0.031,0.030,0.027,0.019,0.015,0.017,0.021,0.018,0.019,0.019,0.017,0.016,0.010,0.014,0.013,0.012,0.009,0.008,0.008,0.008,0.012,0.018
USA,0.017,0.012,0.014,0.014,0.021,0.021,0.026,0.028,0.034,0.031,0.029,0.030,0.030,0.031,0.026,0.020,0.018,0.021,0.021,0.022,0.021,0.021,0.014,0.013,0.020,0.024,0.023,0.022,0.020,0.021,0.022,0.019,0.024,0.023,0.019,0.017,0.018,0.018,0.018,0.019,0.022
Albania ,0.038,0.034,0.037,0.037,0.037,0.036,0.038,0.036,0.035,0.034,0.033,0.036,0.037,0.038,0.035,0.032,0.028,0.025,0.022,0.019,0.016,0.013,0.009,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,-0.025,-0.029,-0.021,-0.015,-0.004,0.002,-0.011,-0.002,0.011,0.017
Bulgaria ,0.058,0.044,0.057,0.051,0.061,0.060,0.068,0.064,0.057,0.054,0.051,0.048,0.045,0.045,0.040,0.042,0.038,0.032,0.033,0.032,0.024,0.024,0.022,0.017,0.017,0.007,0.006,0.008,0.005,0.000,-0.008,-0.017,-0.026,-0.023,-0.023,-0.016,-0.027,-0.032,-0.026,-0.019,-0.002
Czecho-slovakia,0.039,0.041,0.040,0.038,0.039,0.035,0.034,0.033,0.030,0.029,0.024,0.024,0.026,0.031,0.030,0.029,0.027,0.026,0.023,0.021,0.021,0.017,0.016,0.015,0.014,0.012,0.013,0.010,0.011,0.012,0.006,-0.006,-0.010,-0.011,-0.010,-0.005,-0.002,-0.001,-0.002,-0.001,0.005
