country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Afghanistan,AFG,0.014,0.011,0.009,0.004,0.004,0.003,0,0.002,-0.001,-0.002,-0.004,-0.01,-0.014,-0.006,-0.002,0,0.004,-0.006,-0.002,-0.003,-0.003,0.015,0.028,0.023,0.019,0.013,0.018,0.008,-0.007,-0.007,-0.013,-0.024,-0.04,-0.058,-0.066,-0.046,-0.05,-0.029,-0.016,-0.011,-0.007
Albania ,ALB,0.038,0.034,0.037,0.037,0.037,0.036,0.038,0.036,0.035,0.034,0.033,0.036,0.037,0.038,0.035,0.032,0.028,0.025,0.022,0.019,0.016,0.013,0.009,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,-0.025,-0.029,-0.021,-0.015,-0.004,0.002,-0.011,-0.002,0.011,0.017
Algeria ,DZA,0.043,0.029,0.004,0.026,0.023,0.026,0.011,0.007,0.014,0.005,0.007,0.011,0.051,0.029,0.03,0.03,0.042,0.042,0.043,0.042,0.034,0.046,0.032,0.034,0.033,0.031,0.024,0.015,0.001,-0.004,-0.007,-0.01,-0.014,-0.02,-0.025,-0.025,-0.02,-0.017,-0.009,-0.008,-0.003
Angola,AGO,0.018,0.026,0.019,0.021,0.034,0.033,0.041,0.037,0.03,0.033,0.035,0.022,0.025,0.026,0.013,-0.039,-0.054,-0.059,-0.054,-0.055,-0.059,-0.061,-0.066,-0.076,-0.074,-0.031,-0.031,-0.021,-0.012,-0.012,-0.01,-0.008,-0.01,-0.033,-0.033,-0.021,0.006,-0.001,-0.015,-0.015,-0.016
Argentina ,ARG,0.011,0.015,0.019,0.011,0.018,0.02,0.018,0.016,0.014,0.03,0.028,0.025,0.03,0.039,0.035,0.025,0.023,0.026,0.017,0.016,0.012,0.001,-0.005,-0.007,-0.011,-0.017,-0.01,-0.013,-0.01,-0.023,-0.024,-0.009,0.002,0.005,0.009,0.013,0.011,0.017,0.024,0.027,0.027
Australia ,AUS,0.017,0.014,0.02,0.023,0.024,0.024,0.024,0.029,0.03,0.03,0.032,0.036,0.032,0.032,0.028,0.026,0.028,0.024,0.021,0.022,0.018,0.018,0.015,0.01,0.015,0.017,0.015,0.019,0.02,0.018,0.018,0.013,0.017,0.021,0.019,0.017,0.019,0.019,0.02,0.02,0.022
Austria ,AUT,0.058,0.056,0.058,0.057,0.052,0.043,0.042,0.038,0.039,0.042,0.041,0.041,0.045,0.046,0.044,0.042,0.042,0.044,0.04,0.039,0.035,0.03,0.026,0.025,0.022,0.024,0.021,0.018,0.022,0.02,0.021,0.023,0.022,0.019,0.02,0.021,0.021,0.021,0.022,0.022,0.022
Bahrain ,BHR,0.031,0.028,0.026,0.024,0.024,0.023,0.024,0.024,0.025,0.027,0.029,0.033,0.037,0.039,0.041,0.021,0.028,0.027,0.023,0.015,0.015,0.008,0.005,0.004,0,0.011,0,-0.004,-0.003,0,-0.007,-0.006,-0.005,0.001,-0.002,0.003,0.006,0.009,0.011,0.013,0.019
Bangladesh,BGD,0.001,0.004,0,0.008,0.007,0.018,0.009,0.009,0.02,0.016,0.015,0.004,-0.008,-0.018,-0.007,-0.014,-0.011,-0.009,-0.012,-0.009,-0.014,-0.006,0.008,0.012,0.005,0.009,0.009,0.013,0.009,0.008,0.014,0.015,0.02,0.02,0.02,0.022,0.023,0.025,0.028,0.031,0.031
Belgium ,BEL,0.024,0.024,0.03,0.031,0.033,0.031,0.032,0.034,0.039,0.042,0.043,0.042,0.043,0.045,0.042,0.038,0.041,0.038,0.037,0.033,0.031,0.027,0.023,0.017,0.016,0.019,0.015,0.017,0.018,0.019,0.017,0.02,0.02,0.019,0.019,0.02,0.02,0.021,0.018,0.019,0.019
