Country Name,country_code,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Thailand ,THA,0.063978704,0.063900377,0.075780504,0.073817401,0.058461143,0.052238755,0.048140638,0.039852026,0.039996005,0.045721152,0.034790005,0.035102629,0.036069681,0.037067491,0.038294728,0.047359688,0.046868581,0.05357872,0.054397482,0.050070985,0.036239772,0.036472655,0.034587924,0.025317824,0.028983874,0.033903726,0.023713807,0.018047737,0.02486327,0.014326796,0.014037829,0.019124149,0.018652415,0.018226216,0.025289184,0.027488149,0.027393068,0.025994359,0.019358187,0.015524505,0.013839214,0.014072364,0.016765524,0.02494854,0.027818931,0.029833053,0.02645786,0.025031398,0.019060273,0.017273867,0.015010953,0.020864795,0.025119156,0.026493141
Cape Verde ,CPV,0.028303754,0.022476128,0.02759354,0.020574796,0.01851418,0.020535305,0.024616367,0.031474126,0.04066233,0.047667655,0.042474755,0.038860749,0.036501039,0.036709838,0.037329542,0.043905607,0.045632163,0.048623222,0.052662056,0.047639432,0.032332818,0.036488015,0.027756157,0.021774664,0.018560684,0.03064426,0.017035225,0.018760466,0.013221097,0.01364736,0.006952119,0.012521759,0.014319261,0.02344059,0.024537371,0.028024014,0.028063157,0.025722669,0.013823577,0.013461538,0.012177063,0.011609127,0.016382079,0.022710804,0.023716256,0.026372064,0.025034338,0.020312103,0.018027653,0.017532256,0.013975591,0.017954912,0.021140375,0.021644375
Venezuela,VEN,0.012700708,0.014079938,0.027485724,0.021130645,0.032203164,0.035669963,0.045941158,0.04121212,0.037508411,0.041010585,0.044469908,0.036868563,0.032479223,0.039941924,0.034819827,0.029799557,0.02994187,0.034318885,0.033332035,0.018765502,0.014333402,0.022652503,0.015983298,0.012317241,0.021754369,0.022544295,0.00855913,0.012093357,0.014933131,0.017192733,0.02684714,0.035735014,0.029785186,0.026809528,0.018329893,0.011999203,0.007128682,0.010072005,0.006992081,0.016795546,0.019770197,0.022224202,0.024502119,0.029008022,0.023168325,0.024482419,0.02064685,0.015300742,0.011744204,0.011163427,0.008987576,0.014336537,0.016647384,0.014389015
Ecuador ,ECU,0.040884538,0.029846718,0.032686515,0.033106342,0.028408788,0.036943602,0.04686129,0.044307426,0.050216431,0.048957546,0.042442059,0.032817538,0.031080432,0.029619631,0.039714779,0.045418464,0.045298846,0.056249574,0.064942329,0.050574128,0.036216214,0.030698618,0.016789423,0.008405816,0.016524707,0.025066101,0.029476216,0.034986716,0.035580227,0.027263067,0.023195671,0.024440387,0.026680401,0.031651189,0.037353261,0.030383014,0.012484158,-0.0032207,-0.014658859,-0.018638414,-0.010776038,0.009077556,0.029122683,0.041440896,0.042372418,0.045426449,0.042984783,0.03431465,0.02835291,0.028826242,0.024144895,0.02852249,0.035727239,0.032416951
Gabon,GAB,0.036328287,0.033796577,0.039754376,0.038182628,0.033623265,0.035992505,0.036607901,0.035931056,0.040555721,0.047927702,0.043788384,0.043377743,0.041950235,0.041885177,0.042996872,0.044786083,0.044141616,0.043597774,0.04548717,0.037927793,0.025756931,0.025990842,0.025555326,0.021164508,0.022203936,0.026481766,0.019614547,0.016938988,0.013731292,0.010013741,0.010141701,0.013040033,0.013210601,0.019487236,0.023777441,0.025884332,0.022822254,0.020455928,0.010228941,0.007723813,0.006874358,0.007221477,0.008910732,0.017145217,0.019197173,0.022308466,0.023617621,0.020826738,0.015678405,0.013987674,0.010168964,0.011302578,0.0139187,0.011914345
Uganda ,UGA,0.083562677,0.079892253,0.073560761,0.06551834,0.064647712,0.058563504,0.05183262,0.048378762,0.044758116,0.04215441,0.035775346,0.033746092,0.027065442,0.033019547,0.034251614,0.033656592,0.033645723,0.040878177,0.039390146,0.029314744,0.02124672,0.027466288,0.026296762,0.023730482,0.030131674,0.032287169,0.022097871,0.014386451,0.012659642,0.011042847,0.014129928,0.018004843,0.022624816,0.024345775,0.02293636,0.010213222,0.014817235,0.014708469,0.005926393,0.005609639,0.016638222,0.009091085,0.009503122,0.016105172,0.015401195,0.01833068,0.019185797,0.015672339,0.011477871,0.009644846,0.004950248,0.009062666,0.014283383,0.017345646
Congo-Kinshasa,COD,0.057252801,0.048274428,0.050382546,0.047190405,0.053850866,0.054242636,0.060264443,0.06203661,0.062541803,0.055696675,0.050009184,0.04707005,0.048817738,0.051154025,0.057061029,0.061073248,0.051961239,0.044675786,0.044349895,0.042123881,0.025416308,0.035686273,0.033364619,0.026518203,0.028040575,0.040119144,0.028576097,0.025084643,0.021609507,0.016995868,0.016217214,0.020493802,0.026206395,0.032307867,0.032480315,0.030911129,0.028267604,0.02270255,0.012055235,0.009384833,0.010839043,0.009655075,0.012221889,0.017248932,0.015935442,0.017333775,0.018673802,0.015625772,0.011973986,0.011527964,0.00550748,0.005881036,0.007641983,0.004730064
Equatorial Guinea ,GNQ,0.040872099,0.044487583,0.045881438,0.027200427,0.022950639,0.024952726,0.018084091,0.025600633,0.033735824,0.040537444,0.034071706,0.039120117,0.036618316,0.042860581,0.039643584,0.040805025,0.043934374,0.040255631,0.037264698,0.033230244,0.022479086,0.024214494,0.023908862,0.019735331,0.016485212,0.019154927,0.009055592,0.001611867,0.000819985,0.003423488,0.007745753,0.014603155,0.019457353,0.020673331,0.023017366,0.024654705,0.023587885,0.024015508,0.021267251,0.017665404,0.016095222,0.018665214,0.024226643,0.029684522,0.033213504,0.034462403,0.030894973,0.02220418,0.015384084,0.011289746,0.008570683,0.012671661,0.021204045,0.024338285
Spain ,ESP,0.030231895,0.030055067,0.029129219,0.021360627,0.020030245,0.027127286,0.029248907,0.02908737,0.037108821,0.038805843,0.038222538,0.033276396,0.039967032,0.036555485,0.035472392,0.029044995,0.032026789,0.029969114,0.034645666,0.03445261,0.041218888,0.043063073,0.042131826,0.0409391,0.042098937,0.042027487,0.032461458,0.024408468,0.024696817,0.027597913,0.028135957,0.03345118,0.037022979,0.029236863,0.019163272,0.012900186,0.011683177,0.014357617,0.019919433,0.027738078,0.03164113,0.035510935,0.039268042,0.039023437,0.032723131,0.030596248,0.024426795,0.016961955,0.013930874,0.018297398,0.017481389,0.018645404,0.021108755,0.019345263
Israel ,ISR,0.023401701,0.023301644,0.029542711,0.024985517,0.022864687,0.028041995,0.032224645,0.031912869,0.041745894,0.048759169,0.044787034,0.036592648,0.034507705,0.031160014,0.027708218,0.032917588,0.031152266,0.029930405,0.031393763,0.028659811,0.022076151,0.022973108,0.014957156,0.010362861,0.011768091,0.010402787,0.008737371,0.014618472,0.015121263,0.015634046,0.016228425,0.020447438,0.023946273,0.023877298,0.019534914,0.016962374,0.009173397,0.000237759,-0.00835558,-0.005280169,0.000417794,0.007132832,0.016047881,0.029791326,0.032363643,0.034145896,0.033387924,0.032730696,0.028745397,0.027704299,0.025116893,0.031227199,0.032891367,0.026913031
Iraq ,IRQ,0.036954703,0.033869522,0.03980317,0.027990963,0.029041009,0.027684849,0.027466373,0.026695542,0.039488219,0.036358588,0.030895018,0.023715164,0.023668405,0.023164701,0.024685279,0.031099762,0.03369019,0.03438105,0.034368265,0.028110686,0.003762437,-0.002436523,-0.001570075,-0.006020122,-0.003987112,0.017438497,0.019986691,0.010278049,0.009964341,0.010711074,0.008454055,0.008609183,0.012929884,0.017509662,0.01918329,0.018696388,0.012358931,0.010021458,0.00341646,-0.002398213,-0.007825422,-0.00335824,0.002567593,0.009648226,0.010811593,0.017407572,0.018659946,0.014293902,0.008312897,0.010159229,0.00837712,0.013470141,0.020400657,0.023530201
