Country Name,country_code,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Angola,AGO,0.017739261,0.006207661,0.016879389,0.019642561,0.02570654,0.017569773,0.046934195,0.022063377,0.021595314,0.042602247,0.04955453,0.035254105,0.052835766,0.039100281,0.023017366,0.020673786,0.008078471,-0.001810602,0.013646258,0.002250311,-0.095051708,-0.112091788,-0.112812998,-0.117066209,-0.109406114,-0.021685174,-0.006449087,-0.017347946,-0.03390723,-0.037857498,-0.041127496,-0.055478518,-0.024957879,0.010847961,0.015523116,0.02180043,0.042253954,0.005734477,-0.075435415,-0.078883471,-0.061910739,-0.029718674,-0.00758472,0.048743218,0.053291244,0.031497401,0.001864961,0.018688121,0.024482158,0.0382725,0.070418935,0.103721018,0.118546472,0.141528164
Benin ,BEN,-0.019546473,-0.0198798,-0.020212842,-0.007783258,-0.006429082,-0.000748039,0.005315031,-0.002114384,-0.000760394,0.004682683,0.008367861,0.00884052,0.017557377,0.015669263,0.007886918,0.001502259,-0.00513669,0.00946648,0.006231188,-0.015512231,-0.011573846,-0.004478283,-0.010656813,-0.009391304,0.021551693,0.030780764,0.032933234,0.042333042,0.026211253,0.025645657,0.021960464,0.015124113,-0.008514548,0.006287139,-0.013351511,-0.020040054,-0.015431852,-0.004794094,-0.007050636,0.00326571,0.005054736,0.006798757,0.010065712,0.015164861,0.018192798,0.019677223,0.018209558,0.018594144,0.017284995,0.014324705,0.008669277,0.006458398,0.004239773,0.006688335
Botswana,BWA,0.016037295,0.014994068,0.015266402,0.014186495,0.014054823,0.01301412,0.01406643,0.013859874,0.014765714,0.015328148,0.016466637,0.028688249,0.043100132,0.057030139,0.069305067,0.081823688,0.095961208,0.132572188,0.15044104,0.166594339,0.13580332,0.130791233,0.072684464,0.06488676,0.044098218,0.075990767,0.06103265,0.071925292,0.0687811,0.07362398,0.062270911,0.059937725,0.063901459,0.064980436,0.069298976,0.067181483,0.06216396,0.050711616,0.024253439,0.006459031,0.003796188,0.005748798,0.013675396,0.022713576,0.029743288,0.039373748,0.040180971,0.038639034,0.036379282,0.031450557,0.018707676,0.018705625,0.017345398,0.014888911
Burkina Faso,BFA,0.026024598,0.025931924,0.025845769,0.026195684,0.026018136,0.024506977,0.026111763,0.032015355,0.022527294,0.020637522,0.022841099,0.015030996,0.019261121,0.027309676,0.025831442,0.017907985,0.024289544,0.014639867,-0.003009905,-0.011297954,-0.021074305,-0.031358927,-0.027578297,0.003142092,0.00721169,0.017625542,0.026727578,0.016577752,-0.00839564,-0.007682431,0.01325889,0.033626621,0.024667973,0.042297844,0.0351909,0.006751944,-0.006146382,-0.003029421,-0.012524127,-0.008253834,0.004528881,0.008394771,0.020809642,0.028800471,0.039342745,0.034297341,0.024583512,0.018065326,0.017665921,0.014429858,0.025619605,0.0263897,0.02860022,0.026060612
Burundi,BDI,0.025039584,0.021319873,0.022683576,0.02017973,0.020651272,0.017118541,-0.02175047,-0.013179339,-0.010248222,-0.011407293,-0.008644537,0.030594788,0.030599436,0.01898071,0.006302825,0.049233613,0.056703071,0.023615703,0.043993793,0.045373673,-0.001980617,-0.001684885,0.036833136,0.015805994,0.015023871,0.024399061,0.025621921,0.00125559,0.009767699,0.010384353,0.021649549,0.012696368,0.02130799,0.022176003,0.025443752,0.009652536,0.011069554,0.003158105,-0.00499839,-0.01253219,-0.042570779,-0.064654568,-0.060199572,-0.05026328,-0.04890801,-0.026367821,-0.009842818,-0.00732354,-0.020479113,-0.010611069,-0.010909704,-0.006979878,-0.00980489,0.000719168
Cameroon ,CMR,0.023596803,0.023172583,0.02287164,0.022675877,0.022249895,0.019900159,0.014554938,0.012849974,0.012366378,0.011725509,0.009802895,0.016169534,0.015091326,0.020022861,0.02216683,0.023639027,0.019743383,0.022279401,0.011831347,0.010310139,0.013825398,0.010678299,0.011462365,0.017525651,0.018007478,0.02530936,0.052887373,0.057676087,0.061016545,0.065480558,0.063580661,0.044946378,0.018149652,-0.00498276,-0.037809859,-0.056727102,-0.07615954,-0.071750293,-0.068460614,-0.054920778,-0.044816135,-0.027265271,-0.010780068,0.006065225,0.020436022,0.022480702,0.021811905,0.019700111,0.017679818,0.016448803,0.012927197,0.010557932,0.00971038,0.007220084
Cape Verde ,CPV,0.005759214,0.005730467,-0.003761077,-0.007984147,0.010936911,0.018643451,0.022885372,0.03578569,0.042565114,0.030191888,0.025181181,0.021929519,0.019361602,0.017387763,0.015984259,0.01494163,-0.006368985,-0.020205461,-0.025704317,-0.034739744,-0.032487006,-0.01681479,-0.006962356,0.013875174,0.039664027,0.098810938,0.116897984,0.121140879,0.117996209,0.102184155,0.051682418,0.038838088,0.046443735,0.033374979,0.036226377,0.026661357,0.016272616,-0.001234239,0.002998963,0.005558017,0.013544075,0.031873041,0.052281046,0.057445797,0.062402248,0.06121337,0.060871205,0.05631009,0.051739933,0.044016251,0.044147856,0.054062267,0.060162406,0.063137559
Centr. Afr. Rep.,CAF,0.022804841,0.022019152,0.021381316,0.020875383,0.020193007,0.013900476,0.013569315,0.000373309,-0.007960045,-0.012355472,-0.013173989,-0.022199017,-0.009745327,-0.007762592,-0.001323482,0.005598919,0.000323136,-0.011906965,-0.004606594,-0.020215549,-0.025706761,-0.011958668,0.007253051,0.000617891,-0.006117418,-0.011807938,-0.017289817,-0.029193039,-0.044678664,-0.02119839,-0.017894232,-0.016678832,-0.024614351,-0.008801917,-0.01452129,-0.009294017,-0.015144783,-0.024145917,-0.02781545,-0.022573835,-0.018411864,-0.0309666,-0.002062366,0.006601133,0.002478232,-0.003640787,0.013957323,-0.000548702,-0.022468617,-0.025555252,-0.023611581,-0.017116648,-0.009056862,0.011258733
Chad ,TCD,0.021692669,0.021353967,0.02111888,0.021099712,0.020623029,0.014420312,0.009384984,0.012131895,0.001376576,-0.011417401,-0.012823561,-0.019826992,-0.029441384,-0.028176103,-0.01051854,-0.007668807,-0.000215762,-0.015386252,-0.024252779,-0.011977051,0.01596312,0.009022625,0.007506197,0.016547846,-0.05618789,-0.093038587,-0.084196216,-0.064948304,-0.041615699,0.012370089,0.064629594,0.047153676,0.033984131,0.037677573,0.041383665,-0.01400412,0.013636703,0.022586434,-0.007789051,-0.006344813,0.002897168,-0.012587079,-0.007402812,0.008853895,0.000323938,0.003750937,0.0189944,0.0296153,0.041284667,0.096326885,0.110282865,0.090697289,0.072147143,0.04554607
Comoro Islands,COM,0.022193815,0.018083368,0.018884825,0.016499696,0.016325275,0.026337517,0.020494911,0.030380477,0.064574965,0.067944194,0.050936568,0.069446008,0.059280153,0.018719511,0.006460342,0.020182474,0.032461512,0.00647707,-0.017943,0.018465596,-0.044358159,-0.097362345,-0.095562878,-0.067493142,-0.099821863,-0.043578591,-0.008062211,0.015518629,0.01726492,0.019625993,0.01415004,0.007756356,0.007615615,0.008354313,0.001971534,-0.001516094,-0.018144134,-0.010682928,-0.013871971,-0.025355638,-0.012341414,-0.004192631,-0.012052537,-0.016291402,-0.001502283,-0.020440216,-0.013343779,-0.017292675,-0.013984496,-0.00987367,0.001018018,-0.001378136,-0.004659588,-0.007372475
