Country Name,country_code,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
China ,CHN,0.051730819,0.046435225,0.034179984,0.045686201,0.042684664,0.028076905,-0.021420003,-0.028480753,-0.030838401,-0.0124177,0.011642504,0.061833265,0.051314081,0.02715636,0.020298538,0.020982051,0.012708891,0.02461935,0.04433535,0.032138069,0.022790052,0.014114703,0.022809092,0.031273215,0.044731815,0.040221195,0.054201058,0.058253226,0.051610622,0.060745025,0.074417168,0.07542858,0.079299005,0.077887811,0.056137274,0.042536322,0.042575732,0.041842234,0.047849487,0.065141119,0.088848496,0.080116007,0.071631127,0.053018667,0.046894542,0.036211072,0.053837284,0.068515622,0.099189864,0.103259342,0.102624344,0.099773339,0.084723355,0.069635808
Indonesia (Java before 1880),IDN,0.030148486,0.020292129,0.016448504,0.007231631,0.00504918,0.013667815,0.018641752,0.009500555,0.000996539,-0.001828268,-0.004839097,-0.01637075,-0.018288228,0.013605295,0.02478074,0.044405432,0.052707053,0.078593918,0.086932707,0.069862202,0.042407234,0.053209019,0.044795781,0.024201656,0.0289214,0.046108739,0.040316863,0.018372908,0.015533448,0.019906719,0.008937994,0.009904272,0.028288819,0.034465382,0.03907449,0.04851945,0.054241049,0.058507554,0.061251354,0.058346079,0.060546524,0.058263274,0.053309635,0.010025326,-0.002772664,-0.008711016,-0.016005302,-0.015973007,0.021971658,0.030855621,0.033044696,0.037053081,0.041037244,0.043860851
Japan ,JPN,0.076035494,0.067591267,0.060623745,0.058566157,0.065994697,0.075467894,0.084691385,0.08780377,0.092925364,0.097840658,0.082801684,0.080062029,0.08409366,0.092536917,0.093814133,0.103604269,0.090669051,0.084576052,0.074487823,0.046616363,0.03150748,0.030521226,0.023642111,0.019369582,0.033854309,0.034305782,0.033432624,0.031367058,0.025980578,0.023339396,0.026868894,0.026542954,0.02912259,0.037335243,0.039645663,0.041515037,0.042935394,0.036484951,0.024731999,0.017171341,0.011267396,0.010092973,0.011827196,0.007479006,0.005403584,0.006057857,0.001534337,-0.00097767,0.00664415,0.011974394,0.010462569,0.013653909,0.017809481,0.012564878
Philippines,PHL,0.048698139,0.041475824,0.039904688,0.029224831,0.027855872,0.016903198,0.014145557,0.012796318,0.019591628,0.012917465,0.020415747,0.018050907,0.019202189,0.015355425,0.018045412,0.015548969,0.017944038,0.018614215,0.026633324,0.024867492,0.02880721,0.03551132,0.035914076,0.028664173,0.032639843,0.031604895,0.02171104,0.018295811,0.012554738,-0.012970609,-0.037066035,-0.037148078,-0.0356695,-0.026436961,0.000704921,0.022427412,0.014962712,0.007820205,-0.000603386,-0.003704728,-0.000387181,0.011995702,0.021186839,0.015544166,0.012994281,0.012665567,0.007119019,0.004340803,0.015457235,0.022564672,0.023654074,0.028852516,0.035021781,0.033636957
S. Korea ,KOR,0.064809279,0.078591146,0.076166538,0.028580509,0.020299161,0.009655985,0.016460997,0.006470057,0.01290427,0.022595219,0.03210884,0.047124683,0.057227521,0.066140942,0.079804652,0.085760387,0.082470048,0.083546309,0.092815601,0.081280233,0.078447557,0.083096196,0.08971196,0.075493916,0.073268363,0.05407331,0.043530481,0.038406405,0.042619972,0.045915611,0.066271039,0.078014884,0.08699745,0.08763404,0.083538484,0.089495418,0.085661775,0.073886783,0.063984185,0.06885448,0.06799121,0.063644743,0.06449059,0.03986654,0.044011621,0.043970633,0.037803082,0.040911995,0.059678126,0.048359031,0.039777893,0.043167333,0.039750437,0.039130892
Thailand ,THA,0.029529236,0.018356798,0.009269701,-0.004643083,0.020034956,0.026724023,0.034189203,0.047786861,0.056901234,0.047068354,0.039372099,0.05126596,0.052674343,0.053189435,0.055534588,0.053133599,0.040784477,0.033076785,0.03712444,0.031446965,0.029432478,0.039308307,0.051690667,0.052654599,0.05497936,0.054529033,0.048782978,0.040617317,0.032928813,0.034771941,0.036119885,0.036208901,0.045018676,0.060498634,0.073676869,0.087204777,0.093496821,0.093321249,0.084641231,0.076754881,0.071087651,0.065894301,0.041815185,0.008917511,0.003150041,-0.002805644,-0.006180938,0.012160308,0.043387504,0.047208754,0.046758097,0.049924883,0.048647535,0.037793806
Burma ,MMR,0.033521825,0.01865208,0.025756894,0.014601041,0.057521388,0.038477297,0.02993455,0.035113097,0.04642693,0.020018089,0.018190337,0.004461429,-0.00695163,-5.66E-05,0.004291688,0.007941642,0.022937527,0.018625053,0.00495863,0.007167769,0.006716211,0.012511408,0.023259226,0.037858686,0.037186639,0.045363289,0.04437095,0.042970559,0.03776746,0.037640021,0.026755077,0.013451101,-0.004985726,-0.036073917,-0.037228847,-0.036257225,-0.035422553,-0.008980973,0.027107773,0.033555091,0.040807757,0.05548005,0.047666258,0.047219435,0.054685701,0.068588403,0.078915472,0.091963219,0.108613324,0.114246846,0.114304878,0.11821258,0.118512266,0.112202175
Hong Kong,HKG,0.03509864,0.035229722,0.035078859,0.035183158,0.035186385,0.035216013,0.035130549,0.052747884,0.069072943,0.074115715,0.090157513,0.084449284,0.057222001,0.036297311,0.043149264,0.033723474,0.041735366,0.06055294,0.078030529,0.058158219,0.041831767,0.057831472,0.061094135,0.054791237,0.066762369,0.084824201,0.072193712,0.054142638,0.049233202,0.05571394,0.039754918,0.044994613,0.065951595,0.072191583,0.0581799,0.065654047,0.056028715,0.042373131,0.036375503,0.039848698,0.033270665,0.027203516,0.024690407,0.002436428,-0.001326549,0.012951107,0.009314877,0.004684022,0.02332696,0.035183827,0.03399605,0.047486827,0.057112915,0.055989417
Malaysia ,MYS,-0.013034592,0.008917651,-0.002311522,-0.003762442,-0.003092932,0.009427854,0.011278446,0.023892519,0.033890304,0.033192897,0.033449452,0.030054167,0.022604316,0.03075329,0.030270196,0.028790147,0.033833183,0.045780304,0.056788769,0.06036235,0.049591228,0.059441886,0.060843273,0.050211608,0.051560375,0.066650052,0.056115948,0.051504619,0.046032224,0.045003577,0.025959169,0.014267646,0.013017479,0.018160177,0.021428217,0.042999835,0.059091098,0.065823351,0.067717898,0.066938244,0.066898554,0.068239128,0.065167073,0.02911918,0.023153322,0.021120358,0.002898091,-7.08E-05,0.027228695,0.028936193,0.023615251,0.035271087,0.038156982,0.037719588
Singapore ,SGP,0.012204854,0.007042406,0.003375219,-0.001697261,-0.01181857,-0.004090567,0.007501832,0.016853686,0.033140039,0.030553507,0.029194403,0.036070629,0.046472684,0.055619397,0.093032391,0.10724545,0.111458424,0.115372642,0.110433529,0.096205686,0.076925247,0.067463358,0.057578921,0.053374213,0.059087769,0.070929715,0.068127894,0.059718281,0.058452507,0.055163867,0.03407177,0.028949258,0.03995935,0.04310823,0.042609108,0.058336252,0.060754344,0.052503319,0.051961171,0.054533895,0.051859315,0.055309495,0.059310204,0.033165911,0.026038368,0.030357947,0.013444342,0.00543029,0.019063487,0.024778772,0.021790866,0.042071041,0.052000937,0.046759749
