Country Name,country_code,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Venezuela,VEN,0.032356431,0.03550522,0.047059678,0.042906728,0.035003921,0.01969012,-0.002691167,-0.020723862,-0.014296282,-0.008864217,0.00402307,0.01458048,0.018381334,0.023301068,0.014236837,0.016330784,0.015411798,0.006443471,0.007225921,0.004731217,-0.003778805,0.009081749,0.018900676,0.009950812,0.007723519,-0.006431143,-0.020757979,-0.036210965,-0.047664905,-0.046126567,-0.034168266,-0.023799094,-0.012070535,0.007539356,-0.012583926,-0.004943528,0.004152696,0.009572287,-0.000429831,0.01374491,0.01217408,-0.00587403,-0.004366772,-0.003435285,-0.010079372,-0.00975205,-0.00190771,-0.031575519,-0.047119308,-0.001979486,0.01069093,0.023092453,0.059817603,0.088114407
Ecuador ,ECU,0.035266472,0.036546116,0.021304851,0.01948124,0.010255143,0.011697888,0.014810748,0.016661846,0.015066387,0.019804391,0.015137561,0.00974634,0.013383321,0.017085604,0.007269062,0.013444928,0.020992456,0.035120786,0.074555084,0.083250134,0.08159749,0.087682101,0.072391633,0.038361412,0.036271098,0.035187905,0.025247727,0.015038581,-0.003194426,-0.004934527,-0.005598113,-0.006780222,-0.020830024,0.005145572,-0.002042062,-0.004662802,0.002251211,0.020433772,0.001962318,0.011086336,0.007884164,0.000774747,0.00199583,0.00426663,-0.015015185,-0.007390723,-0.00193636,-0.000175273,0.003354356,0.030819269,0.03241998,0.031616376,0.028835235,0.037380841
Indonesia (Java before 1880),IDN,0.030148486,0.020292129,0.016448504,0.007231631,0.00504918,0.013667815,0.018641752,0.009500555,0.000996539,-0.001828268,-0.004839097,-0.01637075,-0.018288228,0.013605295,0.02478074,0.044405432,0.052707053,0.078593918,0.086932707,0.069862202,0.042407234,0.053209019,0.044795781,0.024201656,0.0289214,0.046108739,0.040316863,0.018372908,0.015533448,0.019906719,0.008937994,0.009904272,0.028288819,0.034465382,0.03907449,0.04851945,0.054241049,0.058507554,0.061251354,0.058346079,0.060546524,0.058263274,0.053309635,0.010025326,-0.002772664,-0.008711016,-0.016005302,-0.015973007,0.021971658,0.030855621,0.033044696,0.037053081,0.041037244,0.043860851
Iran,IRN,-0.026391209,-0.009693102,0.016398804,0.038540265,0.055369491,0.074678783,0.07349157,0.049544088,0.048115128,0.045356894,0.050066227,0.052852264,0.071374366,0.079122258,0.090585944,0.087558129,0.092558809,0.102475548,0.089980159,0.081928985,0.070272123,0.078923945,0.043532928,6.18E-05,-0.035718942,-0.07546699,-0.11210127,-0.085273952,-0.039809005,-0.019702505,0.015864348,0.003281281,-0.026561349,-0.058827961,-0.052704184,-0.038857119,0.003142193,0.014934526,0.026370533,0.022421759,0.013476938,0.008724853,0.010152701,0.018632963,0.021846114,0.02670033,0.020211489,0.030159912,0.041907541,0.051019233,0.050127989,0.055362121,0.051505046,0.035482866
Iraq ,IRQ,0.11005869,0.105750151,0.081200668,0.032087196,0.004818747,0.035400538,0.043851068,0.055762101,0.028669575,0.043076437,0.037502209,0.02489276,0.009569591,0.04646152,0.029569237,0.011003022,0.012703547,0.009847412,0.008164777,0.01196266,0.044404392,0.070881416,0.084825368,0.08690755,0.120490724,0.081253748,0.00071475,-0.006449473,-0.055979675,-0.093481564,-0.092176316,-0.057006804,-0.047117114,-0.07391733,-0.090724554,-0.08966687,-0.241028528,-0.206247248,-0.167734461,-0.160726032,-0.174113276,0.017331972,-0.04256408,-0.015349886,0.011343421,0.052734066,0.046361121,0.069353318,-0.009712867,0.060098127,0.037024876,0.031975853,0.021516719,0.093142019
Kuwait ,KWT,0.022374793,0.019999868,0.009311354,-0.009452746,-0.022903525,-0.022323419,-0.045025091,-0.034069912,-0.03266364,-0.030675042,-0.039680173,-0.016321355,-0.03256534,-0.025166659,-0.036931089,0.054574394,0.051607901,0.062130433,0.03658258,0.009090781,-0.099634534,-0.100965435,-0.115295383,-0.091262006,-0.042257253,-0.060819076,-0.107451898,-0.119562904,-0.115260764,-0.12580522,-0.092583359,-0.038074194,-0.021548003,-0.029294344,-0.02457749,-0.055991876,-0.007077608,0.011971833,0.061705484,0.06063953,0.108893577,0.038342242,0.034059053,-0.011968318,-0.026386896,-0.014979625,-0.012368984,-0.009872179,0.015980338,0.041396518,0.052364067,0.068700411,0.076167641,0.051498248
Qatar,QAT,0.004889991,0.007989088,0.008126973,0.003054951,0.003648927,0.010520423,-0.008489999,-0.015133799,-0.021399825,-0.042567434,-0.047045693,0.008684764,0.037144525,0.052513078,0.059178357,0.047849119,0.033495144,0.023515677,0.033525317,0.004782039,0.011097682,-0.015761853,-0.059213155,-0.072035733,-0.044764974,-0.035224504,-0.075266377,-0.087851173,-0.132349376,-0.149752609,-0.184324807,-0.191583053,-0.150915617,-0.116054119,-0.098244028,-0.067030441,-0.030736064,-0.020873579,-0.023126387,-0.019925548,-0.011754908,0.009082561,0.042350362,0.056922161,0.059930561,0.070357594,0.063772101,0.017396479,0.014223631,0.023645998,-0.005805318,0.009867386,0.02123874,0.028335773
Saudi Arabia ,SAU,0.05547126,0.053116389,0.047784261,0.037598065,0.034979186,0.049422274,0.057483958,0.07343762,0.080330906,0.076731294,0.080186588,0.084552555,0.077714708,0.077479518,0.074551309,0.068676251,0.067922558,0.080011344,0.100215084,0.114574376,0.091059747,0.073903464,0.065864461,0.031943109,0.008139795,0.02316606,0.020841773,-0.002793547,-0.034070696,-0.044042574,-0.073001024,-0.096259531,-0.088510521,-0.058710488,-0.048314171,-0.001204153,0.036181543,0.035815505,0.031002659,0.026464648,-0.002757078,-0.016033321,-0.016276737,-0.00928243,-0.010594419,-0.000197861,-0.0045844,-0.008391286,0.001666737,0.014372546,0.016565442,0.022688937,0.027377857,0.021538994
UAE,ARE,0.044964273,0.040490035,0.032958525,0.02037666,0.015049663,0.026496023,0.026106573,0.036380465,0.042002593,0.036850042,0.03125262,0.027002397,0.018752345,0.010557664,-0.001412682,-0.01263652,-0.013000235,-0.013948444,-0.011542259,0.022168477,0.007325694,0.00630942,0.011739924,-0.019572934,-0.0270676,0.017036621,0.007975721,-0.026573303,-0.018472259,-0.040600063,-0.077164749,-0.123616103,-0.101210443,-0.09191494,-0.080921313,-0.055215292,-0.004739687,-0.006369007,-0.006289914,-0.012328395,-0.021941311,-0.015356943,-0.004148745,-0.001240224,-0.006657584,0.005059393,-0.000667857,-0.017267274,0.012703893,0.026276243,0.020864009,0.036161802,0.052692665,0.033616603
Algeria ,DZA,0.011526044,0.028887922,0.04238922,0.046609558,0.067659973,0.0763744,0.029886712,-0.032818685,0.005623571,-0.0195757,-0.021855853,-0.008395215,0.049446688,0.022670514,0.031176537,0.037655348,0.02997136,0.051948196,0.035701792,0.028873637,0.023154067,0.05457763,0.03260228,0.050770512,0.056293788,0.045598649,0.03722036,0.03189797,0.017277377,0.010495645,0.017120826,0.010632694,-0.002230991,-0.015396639,-0.018290814,-0.029965691,-0.029656728,-0.024979378,-0.024626489,-0.032158307,-0.020956736,-0.009883797,-0.009078981,0.006982803,0.016694403,0.014533876,0.013147535,0.020724412,0.024405215,0.028300168,0.034163616,0.032555484,0.028566221,0.018991254
Angola,AGO,0.017739261,0.006207661,0.016879389,0.019642561,0.02570654,0.017569773,0.046934195,0.022063377,0.021595314,0.042602247,0.04955453,0.035254105,0.052835766,0.039100281,0.023017366,0.020673786,0.008078471,-0.001810602,0.013646258,0.002250311,-0.095051708,-0.112091788,-0.112812998,-0.117066209,-0.109406114,-0.021685174,-0.006449087,-0.017347946,-0.03390723,-0.037857498,-0.041127496,-0.055478518,-0.024957879,0.010847961,0.015523116,0.02180043,0.042253954,0.005734477,-0.075435415,-0.078883471,-0.061910739,-0.029718674,-0.00758472,0.048743218,0.053291244,0.031497401,0.001864961,0.018688121,0.024482158,0.0382725,0.070418935,0.103721018,0.118546472,0.141528164
