,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,NA,NA,NA,NA,NA,NA,26260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959,NA,NA,1559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9743,NA,NA,NA,NA,NA,NA,NA,NA,NA,5586,NA,NA,NA,17453,NA,NA,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6616,NA,34176,NA,1419,NA,1859,NA,51332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160968,NA,NA,NA,NA,NA,3844,NA,NA,NA,NA,15401,NA,NA,NA,NA,NA,NA,6179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,8101,NA,NA,16985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,7041,NA,NA,NA,NA,NA,NA,7494,NA,NA,NA,NA,NA,NA,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13797,NA,NA,5054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32095,NA,NA,NA,68989,NA,NA,281431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508055,NA,1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6386,NA,NA,NA,NA,NA,NA,NA,NA,4959,NA,NA,13890,NA,NA,NA,NA,NA,NA,1279,4460,NA,NA,NA,NA,NA,NA,NA,NA,NA,55026,NA,NA,11804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,NA,NA,NA,NA,NA,NA,NA,109771,NA,NA,NA,34556,295597,NA,NA,NA,NA,NA,NA,971553,NA,NA,NA,NA,NA,NA,1643705,NA,NA,NA,NA,NA,NA,1184645,NA,NA,NA,20202,233233,NA,NA,NA,NA,NA,NA,NA,NA,NA,15631,131438,NA,NA,42593,NA,NA,NA,NA,NA,41125,NA,NA,NA,NA,NA,NA,NA,NA,97927,NA,NA,NA,NA,NA,NA,NA,NA,NA,4527712,NA,NA,NA,2314068,NA,NA,141606,NA,NA,NA,NA,NA,NA,NA,NA,23597,NA,NA,55455,NA,NA,27043,28609,NA,5243256,NA,289547,NA,NA,NA,NA,NA,248282,3282,NA,NA,82640,NA,13680,13720,1740,NA,NA,NA,32056,NA,89417,12331,NA,281435,NA,194086,NA,NA,NA,NA,1421754,NA,NA,NA,NA,NA,21563,12737,NA,NA,NA,1157,33751,NA,NA,6428,3765,54682,97157,NA,NA,NA,281708,NA,NA,NA,NA,NA,NA,4443,NA,79047,NA,6065,3350444,NA,NA,NA,NA,NA,NA,89738,274351,24393,57936,11109,NA,NA,21100,NA,NA,124525,1467676,NA,NA,875073,139428,20099,NA,NA,3879334,NA,NA,NA,NA,NA,NA,NA,NA
AGO,NA,NA,NA,NA,NA,NA,NA,25526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713606,NA,NA,NA,NA,NA,NA,134255,NA,NA,NA,NA,NA,NA,32563,NA,NA,NA,95411,1873160,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495125,NA,NA,NA,115861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79743,NA,26628,NA,NA,NA,NA,NA,669609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110030,NA,NA,NA,NA,NA,7436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33130,NA,NA,NA,198084,244967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38495,NA,NA,NA,NA,NA,NA,117924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,1077385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548136,2165,51061,NA,NA,284711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2151052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24239703,NA,NA,NA,NA,NA,NA,NA,9817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20840,NA,NA,NA,NA,NA,NA,NA,191586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42193,NA,NA,398199,NA,NA,NA,NA,NA,NA,NA,NA,117287,8647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,NA,NA,NA,NA,109771,25526,1077385,NA,NA,NA,NA,115820,87828,NA,8866,25575,134628,NA,NA,537942,NA,NA,NA,277560,400,NA,13369476,10036,NA,NA,NA,NA,NA,520061,NA,NA,NA,3426106,1984055,205779,NA,NA,189319,14658,32385,50980,NA,53403,NA,22315,NA,NA,320825,NA,54840,NA,155520,NA,356210,NA,NA,802,NA,NA,NA,NA,NA,162000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1429901,NA,NA,5698,2052157,NA,NA,98948,NA,NA,31431,NA,NA,NA,NA,7002,40197,NA,NA,190424,NA,201144,NA,118100,166096,1843680,NA,1401022,NA,9414,41838,NA,NA,679325,45248,NA,NA,NA,21468,NA,NA,55661,12903,6081,NA,355513,NA,2315,NA,20460,803868,NA,103053,NA,NA,NA,NA,573472,NA,NA,83231,NA,NA,243518,61855,NA,NA,NA,85929,27634,NA,869992,352073,38896,92311,196810,12303,NA,15962,218127,NA,NA,63853,NA,NA,NA,123539,15154,11414,NA,261762,1920413,9932,NA,3983,NA,NA,NA,333642,260365,63675,328325,NA,NA,NA,342417,NA,11815,92040,120021,NA,NA,697291,14432,95994,1220543,NA,7847372,NA,NA,NA,NA,NA,NA,NA,NA
ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1697,NA,NA,NA,NA,4530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10951,NA,NA,NA,45094,NA,NA,45089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64604,NA,NA,10595,26700,NA,1491,NA,5001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6820,NA,NA,NA,NA,NA,NA,NA,NA,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,NA,NA,NA,NA,72535,7806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6035,NA,NA,NA,42223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38321,NA,NA,NA,NA,NA,37512,NA,1714666,NA,NA,NA,NA,NA,507921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4471,NA,NA,NA,NA,NA,527117,NA,NA,NA,NA,NA,NA,284250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
