"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","FRA","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","LSO","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SWZ","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"AFG",0,4523.29289321638,2621.57179804722,1110.02261325319,9747.27352908662,5963.88397693518,3566.89687556833,4458.70600059114,4571.60037202656,1540.0502044737,2344.19154636062,9200.97464777007,8462.58743111461,4812.99447566867,3530.83582829491,6210.94421283209,3177.84413167737,10150.3962112528,2062.20922497953,4975.57715662219,3967.80594304723,3983.25660360599,4104.99629064858,8812.05927715228,3535.94222140473,8895.16878838,7992.38695503787,2838.21058285928,3061.07562369104,3113.20813038168,3871.45133306833,9323.37635673712,2244.20234836471,3855.316468791,2435.13774619082,2660.97469094873,3466.89975704657,4354.14024439903,3616.54765885263,4701.19084332306,5123.12564843905,5314.54114840127,5367.91667981049,4320.57202398994,2548.76506105172,8717.1194771819,8643.41057476487,2645.77666171713,3839.34425410016,1151.83188832505,3829.94107567584,817.811129714814,1382.57634710206,1919.3733221954,3006.956167082,3904.33434487425,3041.74930249738,2768.62356085255,3353.71109188356,2341.51791088934,1821.12865352831,5240.4921579766,1986.27376763564,5097.12983651357,4245.88854114766,3896.05509815717,8417.43752523965,4521.63460050164,1907.47582473729,2079.07763150869,4211.63158553172,4797.57593801587,3935.99738427763,3012.47772656741,5095.89887909831,3828.05503478481,4106.1475217663,8755.26474697007,3280.62605055211,3180.59044884996,1042.91527550242,8537.19012402748,1120.54028286655,264.451466304445,8858.85202232087,9532.43103026625,3679.66977148013,2691.78015655992,4103.64671384369,9141.70691876478,2380.99326633726,2523.02886580903,3493.9716654843,1531.78387894877,2767.02261377077,5227.01659241521,5298.34453160888,8807.58412224491,2423.03479528783,2835.1865929226,4811.08164761158,1634.89849832039,3296.34330085748,4569.98095091298,2416.66126501319,3291.63962387466,1829.53456248849,3519.48578118602,3211.51536825784,7423.13998484026,8362.0420385042,2882.56749630768,5333.08760900341,4180.95900710159,4457.48886118988
"AGO",4523.29289321638,0,3624.60372503857,3414.90260148548,5287.66582770046,7452.03866350432,987.529494953819,1777.18557403679,2100.28945079641,5458.47780410069,3762.01413821868,5450.68666965145,4697.37901962105,891.606626258279,1250.17868982315,8159.2545820553,4057.69232814401,5743.21152669313,6474.70334969347,2068.66144267601,1339.70336892802,562.53561458164,772.068159912555,6433.88372189169,1762.02994909754,7136.23117937461,6867.26939519263,4223.48630762452,4337.25171433918,4691.76952947886,2923.26412459508,6611.64893705074,2769.86559058721,3832.80052518112,2098.05220210966,5076.44106586419,4090.02259388985,838.233176086071,4768.78692504843,1856.32104023981,2394.84183083825,2844.55118141597,2773.02266788893,1031.62348116133,3487.13529577646,7626.64253413869,7357.82363786009,4038.5697026546,6625.22048958276,4699.54637607189,4727.7774187717,3835.07225989766,3512.49725724195,3132.37575272517,3686.84705930217,8370.02984607532,1579.04218075863,6202.26433377073,7788.90585477832,6144.38242145561,3333.9123829827,2240.47372680689,4524.84563149789,1437.60840474157,3402.86944335153,2003.87354724657,8453.57545748458,2488.82717863325,5767.10460756401,6601.34829959411,1286.81303390263,2966.56299818004,1119.36433573142,5883.27425093961,814.145578904321,2102.21895121622,1539.26974572934,7266.82743680582,4444.99734000193,4985.08060643339,5203.04182729705,8559.19901258269,3434.64496560219,4468.6545687375,6922.13810993307,6296.06665511231,7321.62716711112,4367.02972731618,3882.22705634307,5058.77843727793,3977.54809728982,6822.05322508134,1043.5256993822,3045.33613683913,1867.98089874408,2841.07182775749,2452.26860777977,7521.59612715973,2254.28421401482,4934.37718786658,1381.23693841825,3470.60277105966,1844.88066060671,1804.52517280626,5987.95929080369,3166.86293271646,3646.4778473406,1209.8198882005,1319.0301791372,7988.45152946563,5938.76410141825,6439.29056933242,1377.85070070605,687.559597724382,926.516125530992
"ALB",2621.57179804722,3624.60372503857,0,2298.17309828277,7621.80950586485,8550.95616582013,3140.93384165175,2458.52490661716,2394.0090109671,4159.27337004462,294.5607549212,6646.49906495438,5977.43011131022,4400.82235902343,2389.87396218131,5031.63859056677,710.664002153008,7865.44507076231,4380.00106232359,2810.91023158605,2385.88923654424,3127.67391219652,2875.41039938649,6249.36453104769,3968.26150597959,6491.77512584558,5650.70367646063,640.801232834899,832.950421916047,1149.99022246326,1385.43705556472,6743.65299803677,1161.91562955011,1249.22318597347,2539.1446897147,1455.43396367585,961.546886996136,2951.66995474313,1453.01104659698,2639.7623717606,2823.41887599512,2868.37063972618,2948.69330185581,2801.62835989001,168.391633764402,6517.37834840486,6355.36794341778,416.97726501831,6456.97232015533,3691.74501015134,1564.06887401118,1938.65950819656,1401.26619993611,1075.4028332138,396.70250335765,5817.9156994006,3057.60406010484,5389.13014643448,5421.23724605568,4942.66136508939,996.036696540456,3015.44709719424,4347.88244562417,4922.0824596297,1640.04558814992,4485.04590177738,6658.6454611694,2171.78969620478,4520.34208180909,3979.36114063861,4253.75532442625,2289.53390499032,3870.65834343124,5607.50056310828,4436.07912739901,1779.9798203637,2327.38621540749,6416.31363407638,1033.34696688147,1425.82512472361,3656.49039479658,11136.4001455734,2485.01389269412,2819.68042937361,6399.02874632731,6911.71850417186,6229.46566830068,746.296892487735,1496.66315135569,6723.9273846812,409.285040128345,3631.35633959036,3042.89650660449,1868.79910903357,2049.14378162711,2775.59546213237,2989.44916834372,6550.72432613125,2965.28147973892,1314.16989068753,4737.13489555091,1113.70546712298,1779.77927616369,2543.46962331481,5036.90074153087,768.898080283906,811.290985661203,3417.33704232204,2854.10136074962,5690.13784934802,5765.05474972067,5492.34169607933,4963.77421948297,3787.24995102664,4201.88206741573
"ARE",1110.02261325319,3414.90260148548,2298.17309828277,0,8670.98687493072,6323.13722278816,2457.27612333614,3536.65121399297,3708.01679454193,2308.59628275885,2100.29322701083,8380.56677737283,7598.53177670864,3723.69418141469,2476.85505005896,6826.57317158185,2987.8218451267,9101.11016507386,3111.00056018656,4080.08590320717,2967.08561214973,2879.53939181023,3032.52742047873,8454.82806576777,2533.37964817321,8778.54610899899,7948.82605156382,2755.72053834716,2995.31024096108,3179.97526195633,3243.65253372207,8910.2545214642,1460.21938758731,3513.71622603389,1325.47853071168,2972.41132250425,3256.25890887184,3295.89676483064,3630.86538954179,3783.64377673112,4280.51584174824,4551.50942454983,4582.55968373625,3284.12627520056,2164.59079128087,8810.48860438314,8653.48132090564,2506.32750957169,4365.63825346923,1620.47374773775,3796.71327926054,622.901318777647,916.990043394176,1279.36089651419,2687.25100652137,4988.8893388171,1943.69743648847,3429.6895759652,4424.26883547867,3123.34305608429,1305.49931767702,4355.53703228156,2084.33606760771,4044.58476995715,3733.05428802371,2956.28013457685,8830.52747347605,3746.11229713996,2680.26592247079,3188.9992013493,3163.28330130364,4116.50051354537,2861.26177160283,3473.08840418316,3992.88705307393,2980.20399734312,3144.01468065253,8712.85237089675,3225.97609690235,3349.95896633206,1909.71135883474,8865.39663562461,187.299390359195,1068.6553137917,8670.36672475288,8936.27117799111,4486.86775640654,2691.2099824943,3751.84195140756,8198.49668040604,2240.73998564638,3565.23141233081,2383.95078661067,556.421127791129,1712.90281491754,4472.7579146572,4450.64198938315,8848.3313970638,1362.9648726783,3050.43387370597,3765.32994659535,1191.12278421503,2349.52200956922,3649.01800236588,3102.08185234063,2762.80933235131,1532.58894754769,2426.5715692265,2101.53482374125,7819.11874683836,7932.37943342235,3603.63529667346,4260.30200788775,3080.59674476224,3375.79233956229
"ARG",9747.27352908662,5287.66582770046,7621.80950586485,8670.98687493072,0,7903.53100948948,6271.87270286968,5367.49004920405,5317.548037454,10613.0480070785,7911.41751982771,1530.52615554083,1819.14622724957,5193.20870836048,6216.48092005467,7004.14236092314,7375.2472712842,476.706890617789,11756.8725870764,4895.75127377599,5794.1028957581,5801.60265321929,5644.85586710738,3051.38920382621,6632.80095798083,3576.22873791189,4246.85054763957,7766.35955438863,7639.21424487804,7815.03157475715,6236.64596125743,2693.62604183508,7576.29011227967,6638.51594743896,7380.50305584175,8506.05903495703,7132.19741835181,5393.14705992588,7391.59926583207,5136.74833402067,4820.37922891382,4755.74966677187,4673.29565224625,5429.59892218131,7614.53249135002,4127.13277257419,3988.24834416905,7821.29100801511,9734.70240493176,9907.82258043829,7159.89178046044,8960.49293882698,8464.42808298645,7940.48015477256,7331.46021930288,11241.1856718944,6847.45753852271,10530.6210979154,11800.6131658427,10921.633601762,8090.27114434498,4654.87651499685,9389.12133228279,5080.08905840234,6067.09698885315,6462.46034964582,4979.5893203975,5467.23898207716,10786.6960202948,11588.0797319539,5904.72279619539,5343.50431922573,6077.33011351982,9917.01810944527,4844.59189929091,6041.03963657081,5679.90407144739,3812.63580948789,7505.91357140668,7951.71317680749,10475.8888090609,5838.84435998173,8713.2021211882,9739.20401202228,3431.25488729807,2142.24264221928,10653.9557955542,7979.46275890261,6425.9528879957,1079.77061389458,8000.79563056609,10784.0152401245,6331.18925244193,8215.48988170894,6980.84850296787,4848.65825476462,4648.7313765478,3965.26322780544,7518.01292825049,8238.19449724694,5365.29958228105,8278.57643613879,6483.50908168045,5260.56272585767,10632.4568264689,6854.25886862832,8230.52412586861,6408.9345564387,6604.69047487208,5609.81581423399,3107.60760876418,10694.738562779,4780.98993461388,5742.17925851819,5562.063615767
"AUS",5963.88397693518,7452.03866350432,8550.95616582013,6323.13722278816,7903.53100948948,0,6987.54296293328,9081.81574416042,9405.93961006098,4464.00190075175,8292.40613633078,9347.08471420344,9691.31101978797,6667.90589187792,7846.90309598022,8803.59150398689,9141.34879636913,7921.77812409107,4649.72655070339,9503.1668635784,8403.552726229,7466.80919186355,7952.64988089306,10101.7036275551,5870.97552529394,9765.60748454825,10435.7187349525,8790.00516957772,8999.30703758077,8967.15451931068,9503.51696248319,9605.85578136691,7743.96387159504,9800.17935163726,6698.44996614805,8339.42717758976,9430.34393543428,8188.98415877145,9459.53560627985,9244.02771038241,9831.96974391225,10281.1161602089,10220.2042235126,8352.66431356597,8446.72976854044,9539.29242010695,9773.08581480706,8609.24539059336,2150.8383793119,4860.67831610014,9694.24806648594,6612.84597235696,7166.5697347263,7602.09202493034,8946.63299929403,4262.76201576705,6591.89549874004,3258.3384865734,4250.35026802525,3764.28780547328,7605.74705847462,9692.45810992663,4238.84814847047,6224.38039420245,10043.8554471226,5493.89380261709,8929.2610997397,9691.62166926898,4134.94078907816,5329.02304625223,6170.9887372803,10193.9557890779,6411.87972691628,2952.5057869882,6979.62735717185,8937.20966665339,8681.89791733219,9773.66557425327,9202.62064110519,8922.09317056977,4968.08132001159,2586.41350504762,6144.45618346128,5745.55037690455,9899.84544639202,9377.98765466336,2760.51180491705,8622.21138108215,10047.3096981082,8983.21813329828,8344.69292531533,6210.70609221185,7034.45596025072,6838.65135897823,7440.30126137095,10261.0963412763,9903.61842611538,9571.76148991618,6226.5602538834,8588.56748952046,6153.60709522959,7456.21357106056,8222.10034720068,9152.47203922317,3602.74969405495,9084.55605149779,7739.66595377624,6588.60309188658,6984.16907191623,9446.12620306662,10576.4717341205,3218.27409635918,6463.19550582027,6800.79315820489,6529.81779384449
"BDI",3566.89687556833,987.529494953819,3140.93384165175,2457.27612333614,6271.87270286968,6987.54296293328,0,2095.28517982366,2418.51449747042,4475.34037338693,3201.41746002445,6392.57773798735,5621.87164613735,1357.40459684174,928.173454378491,8079.2678808972,3715.39342490057,6729.63250357639,5489.04261060973,2561.62951221437,1422.04811593584,565.161087329467,998.128032098966,7223.23287601264,1122.15358833959,7878.1621519355,7449.54246366172,3779.24531849037,3944.17152727757,4283.46361483881,2873.60787114042,7467.05568608867,2089.42726624957,3705.22175444689,1131.80727461722,4522.24882352817,3826.94524732716,1277.98904577028,4484.3889533697,2274.15304911134,2880.65699174949,3315.07709604018,3274.2636553342,1402.47026591265,2981.28134744094,8293.89154196889,8031.98586378888,3552.79218778872,5808.25960123689,3715.48456251476,4505.13373309619,2926.32391489424,2686.76745207638,2403.00493315609,3314.3499428002,7383.98980757669,598.826427731716,5272.379590533,6801.96654514441,5178.40821100439,2604.22282504017,2800.79289318907,3594.20413265295,1818.25873506544,3439.214161533,1564.83540715972,8983.83470760147,2729.90611974772,4790.70642793618,5644.74120546129,1123.91784076018,3241.77261249195,746.287834838121,5008.06936334876,1555.95426246227,2079.95553312104,1699.32228372582,7971.20750863775,4101.79026747191,4565.49937325608,4215.77587117642,8674.47110278255,2462.3992300291,3496.19780416507,7675.41947378841,7204.81223556915,6402.49645830906,3876.85446708449,3825.02718399356,6029.03545825597,3424.89014750303,5954.85800254337,99.158787566741,2144.28277571854,1123.27626891302,3282.80338181832,2990.47443899604,8215.76741777078,1270.20560479754,4434.9778245729,1604.60326912399,2705.86021093424,1510.86627138976,2171.37940947268,5037.2636675998,2900.11661867958,2948.23313014492,400.322965514954,366.988900300877,8298.00530695729,6698.47160007091,5503.79374217123,1935.13341433963,689.856202547258,1083.2684055952
"BEN",4458.70600059114,1777.18557403679,2458.52490661716,3536.65121399297,5367.49004920405,9081.81574416042,2095.28517982366,0,332.421773439394,5845.04433679249,2704.14318390021,4844.9924219754,4061.936410301,2662.54800888308,1289.17890958401,6390.9027123846,2618.01325721687,5714.7474238457,6502.80578679074,551.724913114295,699.985062639219,1627.57676658165,1140.67386704354,5262.41447640571,3211.03117929899,5852.26405579384,5357.77655921923,2902.69919017826,2932.25799602964,3271.40010330981,1296.05843910547,5598.21834131719,2221.19015260326,2187.14357830882,2605.17733475931,3827.37645915531,2553.88298378357,948.226053891033,3202.34565176759,247.001977186574,820.382983376568,1228.58752255565,1201.99742227109,761.503424315482,2386.83813121457,6218.46962077555,5962.34072878411,2806.4049601261,7708.81472690262,5141.08905689039,3107.22094862773,3641.84952834638,3106.65707389897,2575.45781289603,2337.53880598404,8194.78979859696,2534.3479528263,6927.44474518665,7722.38387636141,6658.87809065644,2723.01615326158,828.986982365322,5355.49443737418,3197.92556483586,1668.34931629474,3606.38624964617,6891.17508887905,711.806174394817,6216.75573657021,6292.41581686328,2979.82209664221,1197.86264509403,2694.67805402313,6835.46113990681,2486.18818088117,692.666257484435,434.525926751554,5917.77470717999,2967.10227039171,3553.44325116516,5425.09113749805,10218.8876244227,3655.20890438141,4533.69265538078,5663.74792416893,5476.74829173175,8018.2876417915,3097.16453216292,2181.13886150914,4689.64897010508,2867.32157842754,6081.6865747323,2052.35777608348,2994.25308030461,1908.90820110666,1189.80859909169,965.063200424068,6153.12155115494,3023.21164211556,3615.74714726721,3158.40459908262,2911.08771795888,1187.12998585314,112.452529751502,6618.4972491826,1761.1275999776,2889.81293283784,2493.47543387006,2134.29572325099,6274.77452389412,4719.05042055591,7120.79631272624,3079.14836545186,2342.15071965214,2681.10549787445
"BFA",4571.60037202656,2100.28945079641,2394.0090109671,3708.01679454193,5317.548037454,9405.93961006098,2418.51449747042,332.421773439394,0,6006.70726910579,2659.65275775242,4678.42674386063,3907.29054216566,2980.78667952691,1583.12300856275,6078.85228501443,2459.17686344401,5636.30047031565,6586.34445833237,423.487822500969,1006.23196325502,1959.24818467873,1472.65947510133,4993.02408134537,3537.17398420587,5561.62508454689,5041.56243162147,2774.30407114545,2776.30453555649,3102.49543994837,1112.30257819287,5349.60224524013,2328.58536827198,1956.9767732343,2863.61659716572,3696.38111406758,2361.53479013354,1277.50997327604,2985.83965134119,299.133090697363,574.483988524288,930.857141692093,921.794127993658,1092.78381193771,2345.21325197888,5910.17946792874,5656.83432877198,2708.06766091681,7958.11003204708,5325.47514282363,2871.92362017461,3754.57071478876,3197.7459866049,2659.83477694592,2219.95093987514,8197.3505106754,2838.27202910797,7127.62967756373,7759.10048429824,6827.38683454575,2788.00194134928,670.577491035051,5596.01658856062,3511.10728897245,1397.64865735197,3937.51391097192,6565.73154302065,403.133841501352,6382.22910072212,6316.19691508024,3311.92231600974,868.011026081266,3026.68179447707,7074.59970380262,2787.87694962431,743.623628171765,729.220994192549,5618.23609064695,2786.00000906113,3375.43434115605,5566.7153213433,10456.8416773239,3838.92695565394,4667.91892223741,5378.03591274602,5261.37499714315,8193.12352983943,2978.40188886706,1922.66476214291,4570.62118338476,2801.8132222854,6023.25635795036,2372.05240222853,3156.12275498152,2144.83151775037,881.337715651612,742.65976226839,5849.81502563718,3297.88300132076,3469.9438818962,3480.96652035662,2978.51073533518,1380.41406264934,298.343095380625,6807.7606546099,1652.89295235888,2913.74510437898,2817.84444111153,2439.64344314809,5942.35327701531,4447.64337446508,7310.12530946223,3379.33766683501,2674.11350046704,3009.7362102222
"BGD",1540.0502044737,5458.47780410069,4159.27337004462,2308.59628275885,10613.0480070785,4464.00190075175,4475.34037338693,5845.04433679249,6006.70726910579,0,3878.23485647716,10685.1339975741,9906.96688578264,5442.24875150835,4740.25127014346,6843.55643330204,4686.09979410447,11087.2867174205,1180.64146271249,6386.80393116455,5263.67954949812,4996.96880928265,5254.05158627276,10239.4875685223,3991.07705878876,10104.4087262904,9223.73845186988,4326.70662739953,4535.73306255056,4529.96191667884,5398.46291631937,10755.7570859722,3698.04864622447,5383.76133358562,3438.81096575684,3968.28794159564,4973.86079960518,5536.25739797241,5033.94204728474,6092.00878733999,6575.11528823378,6810.83556238592,6854.17698474968,5552.01783303797,4088.80940195857,9720.7461459367,9751.57943079531,4155.93076407204,2318.02214300485,760.396989752926,5261.23256386046,2306.30579711195,2890.0487122909,3413.30341354178,4541.00339180955,2966.51762485945,3879.64088670839,1229.99630589823,2382.05386706203,823.168329633906,3339.76171138343,6661.24412464162,1264.94945099083,5533.27796521605,5785.86829094293,4151.06738869884,9065.10302677116,6007.46161710891,377.486201736814,1769.1734423977,4718.26660909308,6318.59455087326,4570.18902113646,1554.38769092884,5805.63999499412,5269.71361678046,5450.81926008877,9905.13732588066,4742.72749238081,4537.24943909337,505.972677175534,7011.64539702548,2198.86890466898,1372.22053764594,10143.1271819487,11058.1686538322,2188.44565308071,4159.0037154612,5631.28306621428,10476.8969231635,3899.05072370119,2711.66227137528,4431.6819231679,2853.20127201101,3993.19714206689,6726.50553427916,6747.61355432949,9858.14764939947,3205.23185088524,4189.39375544602,5248.77491609153,3158.97014016502,4657.97139303793,5957.44310543055,877.714450479711,4828.40947041665,3369.44027751277,4280.27253688091,4178.3700080001,8228.60376578603,9850.98467444961,1346.78040285047,5834.32645751256,4932.87590321867,5075.22790625841
