"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","FRA","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","LSO","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SWZ","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"AFG",0,8.42184204854123,6.13428161482703,8.48974256958663,10.4751177298115,10.2475103270387,11.0707130167826,8.07157282109796,8.97973297994975,9.34455800354699,6.5992547451568,11.0460206919358,9.95264026096327,10.9581648984095,9.66235624382847,9.55285341399578,10.1190007924941,11.9440573022192,9.09572298494282,9.55773824656524,5.62423545184944,7.8545968419503,7.58281654884871,10.9414716267469,10.1826381794402,10.7853561275912,5.04161898754544,5.96601572146598,10.3155619902579,10.5220388766109,7.22477121266566,9.58385576258907,8.42849295835776,11.4596485517908,7.49241886224449,8.25965551233371,11.0492283462835,10.3753500804399,9.94816955852666,10.6943150786465,9.65883435577111,10.5620536824127,10.894308192779,8.25215551092053,9.62476140757742,10.4631387847578,9.83988959061331,6.28174917326704,12.0497138722539,8.75585282225828,11.2235300505282,9.61876128769652,6.94894121229497,11.198740033704,11.3126771790621,11.4068345265966,10.2630379634808,6.08692399910588,12.3572661709081,7.31098810228347,9.94159765781376,13.1530972836122,9.2028251229977,10.92031610738,8.96447603396331,9.57457888784533,9.61064418060019,10.6620047013145,5.60810525067849,8.28903213634657,9.87280444472406,9.49471954272064,9.40085502342626,11.7507139241649,9.0073573959024,8.77143097313561,9.83799428894625,8.1605062451544,11.4000014469426,10.3480122466764,11.5906138642455,7.67557555162034,10.5216771192313,9.80089551809195,9.04512144989459,7.68100895435053,8.9269225126864,7.69110844685618,12.2722306635146,10.5384057705395,6.64933297937807,6.74498152752483,6.01752476529643,10.6707887007754,8.15738720192275,7.31474616941458,8.82373333643325,11.5609590002599,9.06737557381614,7.85317158795877,9.70592787258067,10.5461081225601,8.39274499178021,10.2742230120169,12.9236725973601,9.60830951856378,10.2756915865904,8.59592012933465,9.35312211772414,10.945931649841,10.2124687036645,9.32245041679092,7.20829497680196,9.24434522030229,11.9438667957677
"AGO",8.42184204854123,0,7.14866093407456,7.92997492022922,8.89304132246386,7.94357255709815,10.8147153529555,10.0360962882312,6.20924563388399,8.32931593171543,7.69250023978351,10.0335213121766,10.848391713327,11.9495617644978,8.99398340019584,9.80172194204818,6.67929643731155,8.06713191823992,9.745835876424,9.84213704709119,10.1996473328225,7.48997822804292,10.4123448064433,10.4290090304903,6.77156768040659,8.5019124271969,8.68425895676928,7.29924545286101,9.74983492201732,9.3571799779781,10.469040824007,11.3735411665329,11.9796922920529,9.5479180516202,6.18046852299771,7.62481911254041,9.17821303071001,10.5973237735966,8.23411499634209,6.21335414872953,10.3265146057616,8.63757814017055,9.66225351773037,8.46670457507372,8.16579419456782,10.1300607764127,10.5616827386627,7.78755692205006,11.4925008430848,7.83450462150274,9.98040453493098,9.05765189926183,9.60200796561091,9.27824842680769,9.895451086557,9.26848978668076,8.49861142779784,8.49485718120892,12.2993284217305,8.83117797022324,10.9223147364333,9.96815117707333,10.3482986630624,10.5788240285635,10.6539214803222,6.47835039038688,10.0922483418559,10.8193338701996,8.48513670243204,10.3451390559823,4.92796561674554,6.38334459617523,10.3551086358562,12.237016631609,7.95524753564679,7.90077182271684,8.66490778206637,8.41638436826398,8.84534933399104,12.33409488263,10.0657374017727,8.6190835717772,10.0982297705033,9.39439044417991,9.7300040039871,8.01766181778064,9.28331916938751,8.64789714492765,9.28859468443401,11.8437930615096,8.30540192117854,7.3430398761196,9.7083286392631,9.62760982018181,9.27719985807968,8.04578250353914,8.8418674003534,10.1416640476114,9.86622277563847,6.58828883783046,8.75156730580841,12.4396983095457,8.50366818518731,8.07575363001401,11.097912406545,10.2911080120773,9.81215772320276,6.88874296835259,6.05688737423177,9.64483281537244,8.32515762958749,9.08515025635182,6.1002316043474,6.46707397941891,10.9886200129781
"ALB",6.13428161482703,7.14866093407456,0,8.05234061259744,9.54338952465948,7.01633817009444,11.3482183772382,9.36810004076502,7.67061417542921,9.40093376582795,5.25079259998999,9.77549686844952,8.68924924094279,11.0933908291276,8.47543406960505,7.4649074327012,8.60045219049245,11.0061349460008,9.65415782159015,8.41928845808166,7.59326105413735,7.97770858617868,9.78267723232864,10.7410851759575,9.33301649326134,8.4622454048165,6.52173124122073,4.24738446307778,9.54470876027797,9.09028608593159,7.91502075759742,9.93210417432728,10.1974979745293,9.69280412802605,5.44081193138484,6.56798383122225,9.40088961444016,9.76062367493178,7.24169460803804,8.3471334565929,8.04072693329167,8.92400497650629,10.2224060879024,7.08790333171678,7.54281685608126,8.79335247766348,9.75525719067123,4.27575464837519,11.9543817388914,8.97051329912767,9.59514212267477,7.97613631008074,5.72584588694382,9.82718853343736,10.2165552382214,10.3959648107362,9.33329450233562,7.43216024735565,12.0856487708602,7.59070149188545,10.0785372473591,12.3769855650809,10.8575791486314,10.6605590306384,9.82612537973655,7.10435809838867,9.5429060980285,9.92431172859276,6.38237623441248,8.82568748299107,7.4436572719576,7.66667374537382,8.63658369819801,12.5434112077376,8.59944398667366,8.50146016803681,8.01136979701689,6.29748284009361,9.18312793766183,10.3321273250003,11.4927856560238,6.24578352756514,9.96363007205048,11.3166643830563,9.2860557094891,5.85455111851946,8.50647963633035,4.79561375495369,10.6239853569821,11.6466696242597,5.37696569644455,6.53419351952633,7.66563405181562,9.62773003220098,7.34044405709481,7.03696730255541,8.94646036310303,9.53976404313627,8.58572162473826,5.59700323101731,8.21193908429275,11.2320051996205,8.52062626591433,8.33049164398618,13.0643580085471,9.18154233415682,10.0106379576985,6.72244202847976,7.21180984653109,9.5629692407809,9.563203416807,9.25153757173552,5.27570272356831,8.16327994014919,11.3587069429619
"ARE",8.48974256958663,7.92997492022922,8.05234061259744,0,7.67820067453015,10.0152621103976,10.8978698581317,10.954346731772,10.3083460514093,10.1410624958012,6.8826892615371,8.4900941290423,9.05424721478439,11.7687894619044,8.40534466003965,9.86938579211471,8.11782642896062,9.83104130670507,11.7383503139543,7.13885398426553,10.1224875507771,8.83057047732462,8.85441628059215,9.42691605735618,9.45023518525493,6.76938172948258,9.56439853936345,7.76500551794876,8.01321666253862,10.1124744285993,8.93726954762771,7.88960588367217,10.528693702481,8.62610888654244,7.13201519130278,9.16088557981985,8.10472107728836,7.72271468121556,11.0225247059371,8.31432140962984,6.69382976195014,5.65697263255187,8.08860447468146,8.78847874137374,7.1444705198968,6.54945269378621,7.83112425635904,7.62155328443169,10.8847197942861,10.4076389046096,10.2511337755409,7.92926910144711,7.38685610732063,8.24018931267844,8.73820158447329,8.78605079174682,9.75664573108774,8.79879739469041,12.5890643544717,8.50123440001452,7.39135806694658,9.61026103415296,11.6551203446965,8.09849110799174,10.9900054536099,6.88123518213416,5.82197268787625,9.61699956825157,7.79728786819363,10.6339660351865,8.40021438364938,6.77006519904946,8.69106009137053,10.5900877442094,5.48662682670843,6.3867804231297,8.45608850452801,6.71062774091541,8.28257510072819,10.2247419751607,11.5814943506168,8.83596159599612,10.9017272314441,11.575911919386,7.27295878079801,6.72187657996324,4.73168834497483,8.04376848552791,9.52238249199245,9.43025759507485,7.19701919887798,8.36692218811811,9.67948700598207,5.29192176803318,8.9756646683613,8.23022484073279,8.43118520813,7.9473082151397,9.20620139285458,8.28163785561102,7.57257307699292,8.43666730772905,10.4202423073178,7.61468250985746,11.3192540243449,8.10340198570463,9.93489132373391,7.09735256784582,8.44282559726766,11.1361525653583,7.6326531385963,10.329676898804,5.10004220259935,6.21427718653939,10.54588192487
"ARG",10.4751177298115,8.89304132246386,9.54338952465948,7.67820067453015,0,8.52660317623594,10.6321473519477,11.5581535293545,10.3304156826496,10.7435300861789,9.3155320206899,7.21195510774436,7.88559850382388,10.6270290777121,8.9252334616217,9.81625274272305,9.11454834963884,9.12481781719329,11.1113068954728,7.78330482349784,11.3082914137944,9.49661717320843,10.4691205314511,7.00225360136214,9.93249941570319,5.68879466659079,10.6943593477248,8.63085860839807,9.29102399702892,8.71886029450022,9.98096135967335,8.45944145800996,11.3754378753651,8.66478023439538,7.81531660195891,9.98606799246125,8.79664016584095,6.83366502625616,10.5161166235187,8.78810714176874,8.95394764871083,7.57657889684212,8.35963841205322,10.49903641037,8.12410857653234,6.80687114388596,8.44337642303073,10.0448290837146,8.4817654601775,10.0998249061569,10.5100199263069,7.04607388913041,9.48362986587956,7.24895806353303,9.53326901830974,8.82113594633234,8.63167695323898,10.7384297401727,10.1396144372115,9.23397917053923,6.93125633893276,7.72605093155274,10.2550259142232,9.57609987151527,10.6334865935914,7.11372993300838,8.50244402979974,9.8580111494364,10.0326488974836,11.0397803204408,8.88123396125042,8.10838053926701,6.29774295542297,9.34761031348107,8.80011830627123,10.4079032797191,8.95744042014625,7.91292416844095,7.35242573792276,8.74800240514626,10.95749278274,9.48551571682062,8.95865898361265,10.0707436516004,7.70797018427332,6.86981013150699,8.15761671652386,7.22409375107805,9.10708384709359,9.9097309633711,8.41890554880031,10.488561207084,11.326109955846,7.18661604193233,10.382796132989,10.3535891522044,10.6228761123513,6.79032938380672,10.1152981646455,9.50124324974646,8.24348313380241,8.98782512932368,10.6071628208699,8.10520867040146,10.476069649552,8.6633208083324,7.39223117642941,8.36477923828117,8.22366071752472,10.4226419614005,5.50882620993014,10.2850909802226,7.75937400836989,9.14280927683701,9.10673808617694
"AUS",10.2475103270387,7.94357255709815,7.01633817009444,10.0152621103976,8.52660317623594,0,10.0194775600339,9.91399000250135,7.62555818234867,10.1608334063022,8.24135571898018,7.27269220789471,8.71544338889464,9.74324979190152,9.20569271162036,5.18679878207121,8.14617435114034,9.87700407728979,10.8168556898089,7.66445701743365,9.70498529452857,8.79594344910005,11.1837760875915,9.78282612496359,8.62020184083104,7.60798862562205,9.28580090410229,7.96626820406364,9.90869134072834,7.035040930308,9.91689793112617,10.5697031020236,10.9308310552139,6.69173189333059,6.84223942271135,6.95440931292483,7.48871128888959,9.49497490961079,6.1366008834483,8.86963486587,8.83202412664992,8.80745194932677,9.33679381456286,8.67268157327459,6.65045304342724,7.98484774505281,9.56532064692448,7.47348854781905,11.2657440558189,10.5350746805119,8.25021973425673,7.82657909501231,8.46574232176789,8.62426808108629,8.63960194714199,8.33048304567672,6.98085232688699,10.8856898790852,9.99569548542709,10.5653257817552,10.5454627302872,10.2459891891055,11.1469009987092,10.1628349854585,9.46987565265969,7.58620325113465,9.67005092663226,9.52564992422795,10.6672321713676,8.76506692894061,7.72987336106161,7.3278728315073,7.94625474485134,11.4519771851824,9.37819569422691,9.95065845091054,8.7483690479827,7.45660430810138,6.46109332959687,8.55966815800555,11.4735343292125,8.75724943221547,7.6064717828641,9.86421745956003,9.60675001274453,7.48234836424418,10.1160699952166,6.292018820267,7.23671240167656,11.0934004802303,7.61201208115965,8.80240615787172,10.0138913673938,9.01314645018261,9.25293913308801,10.2517350502448,10.5484296182656,8.20403688201236,9.94805395362577,6.00897753481076,7.09852572450717,11.642097281621,10.4576504377193,6.3588893785991,11.2914622432263,9.35894837238737,8.52736042579971,6.87642719680649,7.76253193299725,5.73578130020348,9.36796237742477,11.1764622519302,6.97309063176669,9.19642817933507,9.35928465410223
"BDI",11.0707130167826,10.8147153529555,11.3482183772382,10.8978698581317,10.6321473519477,10.0194775600339,0,11.4731249693839,10.9018200547184,13.0065341561739,9.48673766114044,10.7669549837359,8.43703825930876,7.06567345460118,9.51506594061365,8.47340685902549,7.7444464214233,12.0495498271211,11.2140185907403,10.3137653602567,8.920190189711,7.02907647963768,8.21689343614289,8.87276231374291,9.76694622676457,10.0109835430857,9.63833972924915,10.2400786249975,8.0659354976283,10.0332095689713,8.19668890964576,8.42282515070829,10.5575171071296,8.63568951203728,10.8063427742978,9.12761937570235,7.21751121490649,9.54959667904664,11.2998756635079,11.95710648728,10.5856134030358,10.2756248286061,8.33259428182433,13.2022747324617,8.08317411057129,10.1005103004016,9.70167505609556,10.0643356816419,9.61224441383471,12.6458388031505,12.7211811825987,10.0924093909203,9.6998696680714,8.55373894945312,7.27378483683232,7.31772657062273,6.33321857816122,11.9831048791116,8.08769633804342,12.6057743055663,11.7339823111637,9.04927404893272,11.9619078557213,10.6001914468114,9.19802856928486,9.59479355689252,8.6665242863839,10.4569955597646,12.3583101853668,7.48594445481532,11.4605279669296,10.7344444942002,9.7467479755467,11.0293858800814,11.5126719639032,10.4257973882944,9.57386243055148,10.9446459608994,8.92937659947644,10.1314155379319,11.6234549653968,11.6173787342857,8.00686238408269,9.28665835911471,9.97202182508628,11.7133557965111,9.92038523975104,11.412763850162,7.67940580502747,8.13384201515164,9.26496308259406,7.80052645084246,8.9006348037982,8.76279250320951,12.7034203754111,11.9324237324322,7.08917224804945,11.479400590012,9.56864635615982,9.91223675513712,9.53763796773171,10.1099291814446,11.0667502900089,9.20322363438988,9.97465975324623,11.0014404275307,8.78639025501446,10.1043394703039,12.4429041271029,9.86499902810832,9.19386021702972,13.2602379787886,10.0574334432474,9.09125571469204,8.12489252321452
"BEN",8.07157282109796,10.0360962882312,9.36810004076502,10.954346731772,11.5581535293545,9.91399000250135,11.4731249693839,0,9.26164223920241,8.87078415737237,10.0881152684131,10.5836403969655,11.7413535824441,10.4599059670274,11.9653246981295,10.3247724798243,11.4113041423557,9.92055186574762,8.86785123253111,9.92235906563989,7.30110153227659,11.5530365039727,8.56795554188079,11.6106710135969,10.2658162520808,12.3977017982676,8.84865212165396,10.2922190095782,12.3128072596757,9.94709715921668,9.43382564109456,11.6714508456262,7.20384217149301,11.8837355270364,9.76874198450743,9.89466517613715,11.6780998670713,12.7584281302193,10.5680887281228,11.6197616406048,11.8230265574807,11.9913412526856,11.980145794196,8.64009343581456,11.184347470229,10.6893199644921,11.039343923157,9.51242396835911,11.7312601070211,10.0734410732705,9.45479218558187,11.5473852849383,10.0326498692411,11.8696255458227,11.8287822083135,11.6180769148412,10.6847365529124,7.8594178708226,11.9251933059013,8.22082237015614,10.541348056387,12.1495357893688,7.31857769896737,11.6366141334685,8.75219183319561,11.7757001657066,9.79447215163117,11.2368175071794,8.09519646570582,9.71186551205311,10.3500004036297,10.2847099095768,11.3595699874446,9.55455086370687,9.72605952985292,9.53448771062375,11.7133370868117,11.3025747967158,12.3719300873383,9.76464577030243,11.7701925866409,9.64755569292247,10.2938517337279,8.20303120500578,8.55456039535422,10.1238705768181,11.5460275893708,10.6564975578058,11.3149900851311,9.55190019436325,10.3878353142655,10.4062865087431,8.75681733002676,11.8836333648332,9.43972138707803,10.9921022085092,10.7494594553508,12.6585546203813,12.2124698717167,10.1624800512267,10.789163217282,11.6003938155642,11.7865338613589,10.9880120610405,11.185852880037,9.31569518772151,12.7282153311917,10.749498843213,10.7996985716619,9.47037082265448,12.5277876182092,10.0686045102573,10.0978880410369,11.8544682094812,11.4019602448243
"BFA",8.97973297994975,6.20924563388399,7.67061417542921,10.3083460514093,10.3304156826496,7.62555818234867,10.9018200547184,9.26164223920241,0,8.3867440162847,8.61255737488511,11.5696167451033,10.8063678511589,12.5059232488232,8.01752020109725,9.35809432908917,7.51358956450025,8.40778146562414,9.83488990721403,9.22081140938072,8.89539195056617,8.5649007100387,11.6224202688322,11.5241806625283,7.30353678921275,9.89521740763413,9.22754854876091,7.57716485926885,8.81452901306309,8.18027484992789,10.1286832572452,12.6717166465578,11.0692441988956,10.4852845179318,7.98828919546071,8.10030926594123,9.53054108504598,12.2279434414419,7.147088427587,7.5167875702798,10.2026469293933,10.6877260301174,9.74688097512653,8.48187086298081,8.99972434816863,11.3304231776954,11.1532486464557,7.69082016650768,12.5227327237468,8.89154309930748,9.81855268006868,10.8778461010746,8.93459864862259,9.78146294472526,9.40001165313785,9.37248222702605,9.19960892961916,8.3113148555527,12.1183894074012,9.8617310267326,11.7454680991991,10.7794129337362,10.3683331760048,11.6436045465429,11.2699979666347,7.25328196115448,11.0420714080574,10.0399771191384,9.22018471600616,8.9964401281955,7.44342118611291,7.47224638637101,10.4797539332932,13.2608884263921,9.20451868204156,7.52662977469569,10.8032789351454,9.59495199073105,9.08319169275431,10.9424328041904,9.1722276377238,9.2745748381158,9.45102151519242,10.068840196735,10.022943068176,8.47908580664152,10.9199615017914,8.92774172619882,10.0399244242315,11.9716873974427,8.91716763012779,8.53213503888825,9.35250803090057,11.5294113255367,8.87922457824618,8.46886248618673,10.200534840268,10.4533618654598,9.13221256617494,7.42498539512676,9.97806366972308,12.8151311191134,9.24720500163266,8.07587156379135,11.8803770102084,11.7768031960361,10.9018473707377,9.36923233443369,8.43531751083621,8.53526811771532,9.59177431774743,9.6690162296745,8.32759202017447,8.84116985779161,10.6053674656724
"BGD",9.34455800354699,8.32931593171543,9.40093376582795,10.1410624958012,10.7435300861789,10.1608334063022,13.0065341561739,8.87078415737237,8.3867440162847,0,10.6423302825658,9.90997113102379,13.0235837492982,13.3229514344714,10.9362585047392,11.6352060857994,11.8402340603539,7.06116373410843,7.98413805822109,11.4507250243244,11.4639417520408,11.9443167780213,12.7090504876723,11.6726319266771,10.1251823615823,10.6248335828878,10.2576323374159,10.5302793578995,12.6724791299236,11.2039282913061,12.0296474649669,12.778872396002,9.99827674263748,12.063968106865,9.43165471911462,11.9271796626165,12.7862486345359,12.6005466078799,9.18485345820731,7.66161905833711,11.4525269547357,10.6274503940964,12.2552318970393,5.71570964928499,12.2148910739049,11.131638059001,9.87848740544696,10.5481646102159,11.7541478858211,5.15393252994232,8.17279883706065,11.0719608466217,10.9913786805305,12.994740878911,12.8440519661359,12.5782355091458,12.0258486545652,6.72715275905043,11.9341594552147,6.46152764574788,9.8075038165257,11.451225266827,6.98198883134914,10.2335865749935,9.81455875341524,10.5156435375774,12.1531521838258,9.51503420884775,7.06558236047163,12.6533368883627,8.43414402254253,9.45327433916568,12.3790401202899,10.3613254184589,8.75307179542955,9.13987014652609,10.9268673483032,10.0578563302828,11.5511613507921,11.749539151357,7.77261444157537,10.5015857551611,11.4577775824956,8.89498038385822,11.2292030230266,9.4881509370299,11.3785923759116,10.2747439714847,12.6384015544418,12.1457015555656,11.3384543336995,10.7694122062905,11.1854374550297,12.3029790048454,7.52501340946149,8.28049383553696,11.2486958474907,9.76387615009875,10.4379447287509,10.3511007194747,11.4297980391648,12.0084516506584,8.21320242368525,11.079576133591,9.45110317749614,10.6780039729479,11.1077192758311,9.03473939531397,7.14548110810106,9.76893177561113,10.4196774772384,6.89244449851104,10.2419017478744,10.4898220341378,13.5566830598542
