"","Afghanistan","Afr.Other NS","Africa N.NES","Albania","Algeria","Angola","Areas NES","Argentina","Armenia","Asia NES","Asia West NS","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium-Lux","Belize","Benin","Bermuda","Bolivia","Bosnia Herzg","Br.Antr.Terr","Brazil","Bulgaria","Burkina Faso","Burundi","CACM NES","Cambodia","Cameroon","Canada","Carib. NES","Cent.Afr.Rep","Chad","Chile","China","China HK SAR","China MC SAR","China SC","Colombia","Congo","Costa Rica","Cote Divoire","Croatia","Cuba","Cyprus","Czech Rep","Czechoslovak","Dem.Rp.Congo","Denmark","Djibouti","Dominican Rp","E Europe NES","Ecuador","EEC NES","Egypt","El Salvador","Eq.Guinea","Estonia","Ethiopia","Eur. EFTA NS","Eur.Other NE","Falkland Is","Fiji","Finland","Fm USSR","Fm Yugoslav","Fr Ind O","Fr.Guiana","France,Monac","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Guadeloupe","Guatemala","Guinea","GuineaBissau","Guyana","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Int Org","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea D P Rp","Korea Rep.","Kuwait","Kyrgyzstan","LAIA NES","Lao P.Dem.R","Latvia","Lebanon","Liberia","Libya","Lithuania","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Nepal","Neth.Ant.Aru","Netherlands","Neutral Zone","New Calednia","New Zealand","Nicaragua","Niger","Nigeria","Norway","Occ.Pal.Terr","Oman","Oth.Oceania","Pakistan","Panama","Papua N.Guin","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Rep Moldova","Romania","Russian Fed","Rwanda","Samoa","Saudi Arabia","Senegal","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Somalia","South Africa","Spain","Sri Lanka","St.Helena","St.Kt-Nev-An","St.Pierre Mq","Sudan","Suriname","Sweden","Switz.Liecht","Syria","Taiwan","Tajikistan","Tanzania","TFYR Macedna","Thailand","Togo","Trinidad Tbg","Tunisia","Turkey","Turkmenistan","Uganda","UK","Ukraine","Untd Arab Em","Uruguay","US NES","USA","Uzbekistan","Venezuela","Viet Nam","World","Yemen","Yugoslavia","Zambia","Zimbabwe"
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,1125,579,NA,NA,NA,NA,NA,NA,2436,NA,NA,NA,NA,NA,NA,292,7775,NA,NA,NA,NA,NA,1740,NA,NA,NA,144,24560,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,NA,NA,497,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401,NA,NA,NA,NA,15579,NA,NA,NA,12640,NA,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,1498,NA,21031,5832,NA,15068,NA,901,NA,1675,NA,82085,NA,14342,NA,NA,NA,37923,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8328,NA,NA,NA,NA,814,NA,NA,NA,NA,NA,NA,7148,NA,NA,NA,NA,NA,NA,556,NA,403,NA,34784,NA,NA,NA,2107,NA,1152,263,223,NA,959,13862,NA,NA,574,NA,NA,NA,22795,1576,574,NA,NA,2552,NA,NA,NA,NA,NA,NA,395,637,NA,NA,NA,NA,NA,8993,NA,NA,NA,4486,NA,NA,9600,NA,402,NA,NA,7178,NA,NA,NA,341216,NA,NA,NA,NA
"Afr.Other NS",NA,NA,NA,NA,NA,NA,NA,2226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,2061,2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44481,NA,NA,NA,NA,36610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,95694,NA,NA,NA,NA,105,NA,NA,8711,NA,NA,NA,NA,NA,534453,NA,NA,NA,219343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605605,NA,NA,NA,NA
"Africa N.NES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8261,NA,NA,NA,NA
"Albania",NA,NA,NA,NA,5938,NA,NA,465,NA,NA,NA,226,6213,NA,NA,NA,NA,NA,NA,13535,NA,NA,NA,NA,NA,NA,974,25471,NA,NA,NA,NA,NA,1337,NA,NA,NA,212,8580,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,5899,NA,NA,3182,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2441,NA,NA,NA,NA,33217,NA,NA,NA,41368,NA,NA,183074,NA,NA,NA,NA,NA,NA,NA,NA,8207,NA,557,563,NA,214,NA,1432,406,247788,NA,670,NA,1029,NA,NA,NA,7393,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,NA,NA,NA,NA,1058,NA,262,NA,NA,NA,NA,6998,NA,NA,197,NA,NA,NA,1825,NA,NA,NA,420,NA,NA,NA,149,NA,1959,189,NA,NA,4976,2532,NA,NA,NA,NA,NA,NA,133,479,3927,NA,1015,5706,NA,NA,NA,NA,NA,NA,1868,4525,NA,NA,NA,NA,NA,911,NA,NA,983,41313,NA,NA,9274,NA,NA,NA,NA,18159,NA,NA,NA,672517,NA,NA,NA,NA
"Algeria",324,NA,NA,298,NA,138,519,59199,NA,216,NA,31485,148383,NA,3746,5854,2163,NA,874,221268,2498,440,141,9451,620,NA,93625,16301,814,206,NA,3735,5566,354051,NA,337,403,456,167587,3959,NA,NA,5706,1213,1830,41748,2705,26246,1111,22194,38811,303,27560,NA,8620,NA,4294,NA,31726,1499,NA,326,4461,NA,NA,NA,1621,59852,20493,93406,NA,NA,2165881,3521,NA,7258,628948,891,NA,26592,NA,NA,4069,2204,436,NA,NA,334,17259,1510,20472,103404,NA,1249,335,27313,NA,944441,NA,311250,12349,1762,446,NA,2193,106911,352,NA,NA,780,3708,5224,287,2118,1518,8358,384,19924,4644,1756,1242,NA,44979,346,50138,NA,1407,248,183,148903,NA,16400,60739,231,406,1107,16688,NA,720,NA,1839,966,332,290,7432,3224,48091,26370,126,1823,33255,93723,4353,NA,19828,2277,NA,1436,9593,4299,4285,1212,6495,749452,402,NA,436,NA,447,650,76491,85136,60051,21661,6487,686,NA,7566,375,NA,77658,261043,326,3960,171770,68352,12547,2166,2184,1042735,NA,2088,21597,9003500,169,14704,7033,1501
"Angola",NA,NA,NA,NA,NA,NA,NA,13071,NA,NA,NA,1282,1820,NA,NA,NA,NA,NA,NA,65718,NA,NA,NA,NA,NA,NA,69718,280,NA,NA,NA,NA,NA,4734,NA,NA,NA,738,18689,456,NA,NA,228,NA,NA,NA,NA,NA,NA,487,NA,NA,6661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,842,NA,NA,NA,NA,154970,NA,NA,NA,37329,NA,NA,1191,NA,NA,NA,NA,NA,NA,NA,NA,223,NA,6661,6440,NA,NA,NA,3309,NA,50829,NA,42952,NA,NA,NA,NA,NA,69468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3723,NA,NA,NA,NA,1455,NA,4409,NA,NA,NA,NA,65901,NA,NA,657,NA,NA,2393,11048,NA,884,NA,NA,NA,NA,NA,NA,769,2706,414708,NA,NA,1477,21094,NA,NA,146,NA,NA,NA,22930,6486,NA,NA,162252,118733,NA,NA,NA,NA,NA,NA,6322,9200,NA,NA,NA,NA,NA,12715,NA,NA,720,1795,NA,NA,72366,NA,226,NA,NA,231018,NA,NA,NA,1662303,NA,NA,NA,NA
"Areas NES",NA,NA,NA,NA,NA,6034,NA,174544,NA,NA,NA,7067000,1169384,NA,NA,NA,NA,NA,NA,3436959,NA,NA,NA,NA,NA,NA,576580,191040,NA,NA,NA,NA,NA,3382,NA,NA,NA,228179,271322,84389,NA,NA,86434,NA,NA,NA,NA,NA,NA,41109,NA,NA,3293518,NA,2355804,NA,31517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926400,NA,NA,NA,NA,985129,NA,NA,NA,18947948,NA,NA,50043,NA,NA,NA,NA,NA,NA,NA,NA,233566,NA,NA,1700,NA,16552094,NA,923966,1032120,1318667,NA,538,NA,13785,NA,NA,NA,697657,9728319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20579,NA,NA,NA,NA,148987,NA,18429,NA,NA,NA,NA,12590067,NA,NA,124198,NA,NA,26048,998671,NA,1088044,NA,9018,NA,NA,NA,30272,2020,343168,65376,1876507,NA,35924,3406196,NA,NA,18955582,NA,NA,NA,1156,12625,2308,NA,4810329,657015,NA,NA,NA,NA,NA,NA,1112839,811577,NA,NA,NA,NA,NA,484377,NA,NA,148761,587042,NA,NA,10843896,NA,NA,NA,NA,387209,NA,537759,NA,109605505,NA,NA,NA,NA
"Argentina",NA,NA,NA,NA,20042,8469,394731,NA,NA,NA,NA,85316,72264,NA,548,6067,3601,400,2796,281113,NA,800,198,121332,151,NA,4792476,12643,NA,NA,NA,190,1528,225384,NA,NA,NA,601698,627671,156760,876,NA,60568,2987,5703,31998,3283,8258,957,13621,8726,351,71978,NA,1059,NA,84577,NA,3043,231,NA,1595,NA,NA,NA,NA,NA,90258,23303,846,NA,NA,1077528,17471,NA,2140,1291063,452,1104,11021,103,NA,1701,NA,NA,456,NA,1810,15473,697,76607,68949,NA,1329,NA,56178,73701,1192444,550,858330,165,1384,624,NA,410,486284,997,NA,NA,120,12530,NA,4136,14069,10089,363,3436,103836,NA,3477,NA,663,399786,NA,6566,4709,2431,145,13766,216578,NA,NA,24749,403,162,44235,20532,NA,214,NA,19639,43314,NA,180533,37614,13330,32626,35751,9063,NA,20444,97877,NA,NA,13230,117,NA,NA,131536,13880,4027,NA,92964,830060,4984,NA,511,NA,142,8114,234006,222840,338,267101,NA,NA,NA,67005,NA,7394,9554,18987,215,412,439181,19284,1989,412810,14657,4427402,180,50246,8704,21467827,1260,1386,228,1960
"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,1704,NA,NA,NA,NA,NA,NA,39548,NA,NA,NA,NA,NA,NA,303,11251,NA,NA,NA,NA,NA,680,NA,NA,NA,238,2475,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,6521,NA,NA,4188,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,NA,NA,NA,NA,13146,NA,NA,NA,22879,NA,NA,11460,NA,NA,NA,NA,NA,NA,NA,NA,1875,NA,409,504,NA,35541,NA,2400,2378,12199,NA,990,NA,3803,NA,NA,NA,917,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4666,NA,NA,103,NA,NA,NA,1347,NA,284,NA,271,NA,NA,NA,615,NA,2061,603,NA,NA,1939,66808,NA,NA,231,NA,NA,NA,292,651,366,NA,218,2596,NA,NA,NA,NA,NA,NA,1982,676,NA,NA,NA,NA,NA,254,NA,NA,NA,3316,NA,NA,5023,NA,NA,NA,NA,47577,NA,NA,NA,240089,NA,NA,NA,NA
"Asia NES",NA,NA,NA,NA,NA,NA,NA,1084,NA,NA,NA,29580,4835,NA,NA,NA,NA,NA,NA,3084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1809,NA,NA,NA,258,16098,7085,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,2903,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784,NA,NA,NA,NA,77592,NA,NA,NA,65533,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10862,29498,NA,208,NA,1389,NA,36853,NA,118650,NA,NA,NA,NA,NA,21081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223247,NA,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,15144,NA,NA,4397,NA,NA,NA,1607,NA,5467,NA,1439,NA,NA,NA,NA,1959,170,266,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,874727,NA,NA,NA,1106,880,NA,NA,NA,NA,NA,NA,2689,46351,NA,NA,NA,NA,NA,44826,NA,NA,NA,7020,NA,NA,460490,NA,1700,NA,NA,246064,NA,130,NA,2316255,NA,NA,NA,NA
