"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","FRA","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","LSO","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SWZ","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"AFG",0,0.659090909090909,0.5,0.465116279069767,0.487179487179487,0.533333333333333,0.533333333333333,0.545454545454545,0.555555555555556,0.5625,0.475,0.487179487179487,0.5,0.689655172413793,0.622641509433962,0.511627906976744,0.555555555555556,0.487179487179487,0.644444444444444,0.636363636363636,0.534883720930233,0.536585365853658,0.642857142857143,0.487179487179487,0.531914893617021,0.538461538461538,0.5,0.613636363636364,0.555555555555556,0.653061224489796,0.475,0.487179487179487,0.590909090909091,0.525,0.477272727272727,0.651162790697674,0.565217391304348,0.604166666666667,0.533333333333333,0.688888888888889,0.590909090909091,0.536585365853658,0.581395348837209,0.541666666666667,0.536585365853658,0.538461538461538,0.538461538461538,0.553191489361702,0.754716981132076,0.716666666666667,0.619047619047619,0.461538461538462,0.522727272727273,0.581395348837209,0.577777777777778,0.473684210526316,0.702127659574468,0.755102040816326,0.725490196078431,0.645833333333333,0.476190476190476,0.577777777777778,0.595744680851064,0.707692307692308,0.577777777777778,0.461538461538462,0.5,0.659090909090909,0.615384615384615,0.581395348837209,0.619047619047619,0.647058823529412,0.545454545454545,0.45,0.64,0.565217391304348,0.547619047619048,0.538461538461538,0.536585365853658,0.608695652173913,0.6,0.533333333333333,0.574074074074074,0.557692307692308,0.5,0.487179487179487,0.615384615384615,0.5625,0.534883720930233,0.487179487179487,0.384615384615385,0.5,0.565217391304348,0.435897435897436,0.590909090909091,0.653061224489796,0.577777777777778,0.538461538461538,0.511627906976744,0.612244897959184,0.633333333333333,0.577777777777778,0.568181818181818,0.488372093023256,0.666666666666667,0.511627906976744,0.545454545454545,0.543478260869565,0.534883720930233,0.583333333333333,0.487179487179487,0.627450980392157,0.736111111111111,0.534883720930233,0.615384615384615
"AGO",0.659090909090909,0,0.636363636363636,0.733333333333333,0.484848484848485,0.674418604651163,0.538461538461538,0.552631578947368,0.486486486486487,0.666666666666667,0.594594594594595,0.484848484848485,0.540540540540541,0.686274509803922,0.577777777777778,0.69047619047619,0.727272727272727,0.484848484848485,0.631578947368421,0.542857142857143,0.540540540540541,0.542857142857143,0.545454545454545,0.484848484848485,0.571428571428572,0.4,0.4,0.731707317073171,0.727272727272727,0.609756097560976,0.666666666666667,0.484848484848485,0.767441860465116,0.484848484848485,0.585365853658537,0.558823529411765,0.575,0.585365853658537,0.674418604651163,0.648648648648649,0.485714285714286,0.5,0.470588235294118,0.581395348837209,0.621621621621622,0.4,0.4,0.659090909090909,0.609756097560976,0.807017543859649,0.743589743589744,0.692307692307692,0.755555555555555,0.731707317073171,0.552631578947368,0.6,0.424242424242424,0.666666666666667,0.564102564102564,0.564102564102564,0.625,0.625,0.642857142857143,0.684210526315789,0.72093023255814,0.583333333333333,0.451612903225806,0.529411764705882,0.659574468085106,0.666666666666667,0.6,0.8,0.552631578947368,0.485714285714286,0.487179487179487,0.5,0.514285714285714,0.4,0.657894736842105,0.72093023255814,0.613636363636364,0.674418604651163,0.692307692307692,0.821428571428572,0.4,0.484848484848485,0.676470588235294,0.666666666666667,0.540540540540541,0.484848484848485,0.540540540540541,0.583333333333333,0.538461538461538,0.666666666666667,0.767441860465116,0.609756097560976,0.472222222222222,0.4,0.58974358974359,0.74468085106383,0.719298245614035,0.72093023255814,0.540540540540541,0.526315789473684,0.658536585365854,0.777777777777778,0.69047619047619,0.512820512820513,0.5,0.717391304347826,0.484848484848485,0.613636363636364,0.794117647058823,0.540540540540541,0.630434782608696
"ALB",0.5,0.636363636363636,0,0.574468085106383,0.5,0.477272727272727,0.477272727272727,0.522727272727273,0.465116279069767,0.627450980392157,0.41025641025641,0.5,0.439024390243902,0.672413793103448,0.60377358490566,0.452380952380952,0.533333333333333,0.5,0.680851063829787,0.475,0.511627906976744,0.51219512195122,0.585365853658537,0.5,0.444444444444444,0.473684210526316,0.473684210526316,0.622222222222222,0.533333333333333,0.574468085106383,0.590909090909091,0.5,0.6875,0.5,0.454545454545455,0.595238095238095,0.441860465116279,0.454545454545455,0.477272727272727,0.695652173913044,0.6,0.547619047619048,0.523809523809524,0.48936170212766,0.394736842105263,0.473684210526316,0.473684210526316,0.357142857142857,0.686274509803922,0.78125,0.627906976744186,0.51219512195122,0.625,0.558139534883721,0.414634146341463,0.525,0.680851063829787,0.708333333333333,0.730769230769231,0.533333333333333,0.58695652173913,0.617021276595745,0.604166666666667,0.671875,0.645833333333333,0.435897435897436,0.512820512820513,0.536585365853658,0.568627450980392,0.558139534883721,0.595238095238095,0.571428571428572,0.488372093023256,0.463414634146341,0.5625,0.543478260869565,0.523809523809524,0.473684210526316,0.581395348837209,0.555555555555556,0.607843137254902,0.477272727272727,0.555555555555556,0.711864406779661,0.473684210526316,0.5,0.69047619047619,0.478260869565217,0.439024390243902,0.5,0.315789473684211,0.435897435897436,0.511111111111111,0.590909090909091,0.6875,0.604166666666667,0.522727272727273,0.473684210526316,0.617021276595745,0.647058823529412,0.568965517241379,0.7,0.545454545454545,0.565217391304348,0.673469387755102,0.617021276595745,0.522727272727273,0.488888888888889,0.511627906976744,0.466666666666667,0.5,0.660377358490566,0.722222222222222,0.545454545454545,0.510204081632653
"ARE",0.465116279069767,0.733333333333333,0.574468085106383,0,0.575,0.476190476190476,0.638297872340426,0.622222222222222,0.568181818181818,0.66,0.627906976744186,0.575,0.613636363636364,0.701754385964912,0.660377358490566,0.45,0.568181818181818,0.575,0.770833333333333,0.681818181818182,0.581395348837209,0.619047619047619,0.72093023255814,0.575,0.604166666666667,0.625,0.58974358974359,0.595238095238095,0.568181818181818,0.693877551020408,0.361111111111111,0.575,0.285714285714286,0.575,0.522727272727273,0.697674418604651,0.693877551020408,0.673469387755102,0.476190476190476,0.642857142857143,0.636363636363636,0.585365853658537,0.627906976744186,0.612244897959184,0.55,0.625,0.625,0.625,0.814814814814815,0.728813559322034,0.6,0.473684210526316,0.0909090909090909,0.447368421052632,0.622222222222222,0.486486486486487,0.74468085106383,0.74468085106383,0.764705882352941,0.714285714285714,0.41025641025641,0.590909090909091,0.608695652173913,0.757575757575757,0.41025641025641,0.619047619047619,0.58974358974359,0.704545454545455,0.6,0.659090909090909,0.697674418604651,0.404761904761905,0.622222222222222,0.536585365853658,0.653061224489796,0.608695652173913,0.595238095238095,0.625,0.55,0.558139534883721,0.740740740740741,0.476190476190476,0.529411764705882,0.596153846153846,0.58974358974359,0.575,0.514285714285714,0.604166666666667,0.644444444444444,0.575,0.547619047619048,0.619047619047619,0.666666666666667,0.314285714285714,0.285714285714286,0.608695652173913,0.652173913043478,0.625,0.41025641025641,0.653061224489796,0.709677419354839,0.324324324324324,0.673913043478261,0.534883720930233,0.622222222222222,0.228571428571429,0.523809523809524,0.617021276595745,0.581395348837209,0.533333333333333,0.575,0.716981132075472,0.763888888888889,0.613636363636364,0.703703703703704
"ARG",0.487179487179487,0.484848484848485,0.5,0.575,0,0.609756097560976,0.459459459459459,0.382352941176471,0.444444444444444,0.604651162790698,0.375,0,0.3125,0.63265306122449,0.577777777777778,0.58974358974359,0.666666666666667,0,0.631578947368421,0.454545454545455,0.411764705882353,0.542857142857143,0.5,0,0.421052631578947,0.222222222222222,0.153846153846154,0.594594594594595,0.666666666666667,0.674418604651163,0.514285714285714,0.0769230769230769,0.675,0.0769230769230769,0.432432432432432,0.515151515151515,0.5,0.55,0.609756097560976,0.611111111111111,0.393939393939394,0.40625,0.424242424242424,0.435897435897436,0.40625,0.222222222222222,0.222222222222222,0.525,0.642857142857143,0.716981132075472,0.6,0.454545454545455,0.634146341463415,0.631578947368421,0.28125,0.419354838709677,0.666666666666667,0.7,0.634146341463415,0.564102564102564,0.513513513513513,0.58974358974359,0.609756097560976,0.584905660377358,0.625,0.454545454545455,0.08,0.387096774193548,0.630434782608696,0.470588235294118,0.558823529411765,0.695652173913044,0.428571428571429,0.34375,0.627906976744186,0.416666666666667,0.424242424242424,0.222222222222222,0.621621621621622,0.658536585365854,0.581395348837209,0.609756097560976,0.583333333333333,0.68,0.153846153846154,0,0.59375,0.5,0.363636363636364,0,0.363636363636364,0.354838709677419,0.5,0.470588235294118,0.675,0.5,0.428571428571429,0.222222222222222,0.428571428571429,0.717391304347826,0.596153846153846,0.625,0.457142857142857,0.4,0.658536585365854,0.658536585365854,0.552631578947368,0.432432432432432,0.363636363636364,0.659090909090909,0,0.644444444444444,0.757575757575757,0.411764705882353,0.5
"AUS",0.533333333333333,0.674418604651163,0.477272727272727,0.476190476190476,0.609756097560976,0,0.545454545454545,0.622222222222222,0.534883720930233,0.66,0.525,0.609756097560976,0.581395348837209,0.701754385964912,0.634615384615385,0.228571428571429,0.463414634146341,0.609756097560976,0.717391304347826,0.651162790697674,0.51219512195122,0.55,0.658536585365854,0.609756097560976,0.543478260869565,0.58974358974359,0.58974358974359,0.560975609756098,0.463414634146341,0.638297872340426,0.595238095238095,0.609756097560976,0.571428571428572,0.609756097560976,0.555555555555556,0.6,0.577777777777778,0.58695652173913,0,0.642857142857143,0.666666666666667,0.585365853658537,0.560975609756098,0.553191489361702,0.585365853658537,0.58974358974359,0.58974358974359,0.533333333333333,0.769230769230769,0.684210526315789,0.486486486486487,0.432432432432432,0.463414634146341,0.525,0.590909090909091,0.526315789473684,0.717391304347826,0.74468085106383,0.714285714285714,0.630434782608696,0.590909090909091,0.558139534883721,0.545454545454545,0.738461538461538,0.558139534883721,0.585365853658537,0.625,0.704545454545455,0.6,0.627906976744186,0.697674418604651,0.477272727272727,0.523809523809524,0.461538461538462,0.68,0.638297872340426,0.627906976744186,0.58974358974359,0.473684210526316,0.48780487804878,0.692307692307692,0,0.611111111111111,0.596153846153846,0.58974358974359,0.609756097560976,0.470588235294118,0.574468085106383,0.581395348837209,0.609756097560976,0.435897435897436,0.55,0.577777777777778,0.595238095238095,0.571428571428572,0.545454545454545,0.558139534883721,0.58974358974359,0.622222222222222,0.565217391304348,0.666666666666667,0.523809523809524,0.613636363636364,0.568181818181818,0.558139534883721,0.45,0.523809523809524,0.522727272727273,0.51219512195122,0.263157894736842,0.609756097560976,0.716981132075472,0.746478873239437,0.547619047619048,0.6
"BDI",0.533333333333333,0.538461538461538,0.477272727272727,0.638297872340426,0.459459459459459,0.545454545454545,0,0.523809523809524,0.425,0.604166666666667,0.314285714285714,0.459459459459459,0.435897435897436,0.654545454545455,0.520833333333333,0.523809523809524,0.534883720930233,0.459459459459459,0.717391304347826,0.512820512820513,0.394736842105263,0.388888888888889,0.428571428571429,0.459459459459459,0.325,0.428571428571429,0.382352941176471,0.487179487179487,0.534883720930233,0.638297872340426,0.525,0.416666666666667,0.666666666666667,0.459459459459459,0.452380952380952,0.526315789473684,0.476190476190476,0.452380952380952,0.545454545454545,0.575,0.421052631578947,0.473684210526316,0.487179487179487,0.380952380952381,0.512820512820513,0.428571428571429,0.428571428571429,0.428571428571429,0.638297872340426,0.75,0.6,0.512820512820513,0.6875,0.560975609756098,0.41025641025641,0.444444444444444,0.659090909090909,0.717391304347826,0.6875,0.534883720930233,0.48780487804878,0.590909090909091,0.638297872340426,0.655737704918033,0.558139534883721,0.432432432432432,0.428571428571429,0.5,0.653846153846154,0.560975609756098,0.526315789473684,0.63265306122449,0.41025641025641,0.378378378378378,0.565217391304348,0.476190476190476,0.525,0.428571428571429,0.585365853658537,0.652173913043478,0.64,0.545454545454545,0.611111111111111,0.696428571428572,0.382352941176471,0.459459459459459,0.666666666666667,0.477272727272727,0.435897435897436,0.459459459459459,0.351351351351351,0.294117647058824,0.0606060606060606,0.525,0.666666666666667,0.545454545454545,0.45,0.428571428571429,0.48780487804878,0.705882352941176,0.571428571428572,0.590909090909091,0.547619047619048,0.5,0.680851063829787,0.622222222222222,0.558139534883721,0.414634146341463,0.305555555555556,0.595744680851064,0.459459459459459,0.666666666666667,0.710144927536232,0.351351351351351,0.333333333333333
"BEN",0.545454545454545,0.552631578947368,0.522727272727273,0.622222222222222,0.382352941176471,0.622222222222222,0.523809523809524,0,0.475,0.58695652173913,0.459459459459459,0.382352941176471,0.314285714285714,0.666666666666667,0.466666666666667,0.571428571428572,0.613636363636364,0.382352941176471,0.704545454545455,0.25,0.361111111111111,0.444444444444444,0.441176470588235,0.382352941176471,0.488372093023256,0.485714285714286,0.441176470588235,0.575,0.613636363636364,0.652173913043478,0.575,0.428571428571429,0.711111111111111,0.428571428571429,0.5,0.615384615384615,0.41025641025641,0.463414634146341,0.622222222222222,0.625,0.342857142857143,0.486486486486487,0.416666666666667,0.428571428571429,0.486486486486487,0.485714285714286,0.485714285714286,0.545454545454545,0.680851063829787,0.672727272727273,0.615384615384615,0.526315789473684,0.673913043478261,0.575,0.378378378378378,0.540540540540541,0.642857142857143,0.733333333333333,0.702127659574468,0.547619047619048,0.571428571428572,0.421052631578947,0.590909090909091,0.596491228070175,0.666666666666667,0.486486486486487,0.393939393939394,0.382352941176471,0.583333333333333,0.575,0.615384615384615,0.7,0.461538461538462,0.473684210526316,0.608695652173913,0.48780487804878,0.323529411764706,0.485714285714286,0.564102564102564,0.666666666666667,0.625,0.622222222222222,0.54,0.660377358490566,0.441176470588235,0.382352941176471,0.717948717948718,0.452380952380952,0.361111111111111,0.382352941176471,0.447368421052632,0.444444444444444,0.558139534883721,0.538461538461538,0.711111111111111,0.558139534883721,0.285714285714286,0.485714285714286,0.536585365853658,0.666666666666667,0.555555555555556,0.666666666666667,0.560975609756098,0.305555555555556,0.666666666666667,0.695652173913044,0.571428571428572,0.384615384615385,0.405405405405405,0.608695652173913,0.382352941176471,0.565217391304348,0.681818181818182,0.405405405405405,0.521739130434783
"BFA",0.555555555555556,0.486486486486487,0.465116279069767,0.568181818181818,0.444444444444444,0.534883720930233,0.425,0.475,0,0.625,0.512820512820513,0.444444444444444,0.378378378378378,0.696428571428572,0.409090909090909,0.547619047619048,0.558139534883721,0.444444444444444,0.711111111111111,0.323529411764706,0.461538461538462,0.5,0.5,0.444444444444444,0.465116279069767,0.411764705882353,0.363636363636364,0.585365853658537,0.558139534883721,0.630434782608696,0.55,0.444444444444444,0.560975609756098,0.444444444444444,0.511627906976744,0.513513513513513,0.463414634146341,0.476190476190476,0.534883720930233,0.526315789473684,0.405405405405405,0.538461538461538,0.512820512820513,0.511111111111111,0.459459459459459,0.411764705882353,0.411764705882353,0.488372093023256,0.6875,0.678571428571428,0.552631578947368,0.538461538461538,0.622222222222222,0.512820512820513,0.51219512195122,0.472222222222222,0.681818181818182,0.619047619047619,0.680851063829787,0.48780487804878,0.547619047619048,0.394736842105263,0.6,0.714285714285714,0.581395348837209,0.416666666666667,0.411764705882353,0.4,0.647058823529412,0.651162790697674,0.658536585365854,0.565217391304348,0.475,0.447368421052632,0.617021276595745,0.297297297297297,0.432432432432432,0.411764705882353,0.538461538461538,0.547619047619048,0.574468085106383,0.534883720930233,0.62962962962963,0.690909090909091,0.363636363636364,0.444444444444444,0.5,0.565217391304348,0.378378378378378,0.444444444444444,0.421052631578947,0.5,0.463414634146341,0.55,0.560975609756098,0.425,0.394736842105263,0.411764705882353,0.51219512195122,0.617021276595745,0.683333333333333,0.581395348837209,0.461538461538462,0.41025641025641,0.547619047619048,0.613636363636364,0.51219512195122,0.439024390243902,0.421052631578947,0.617021276595745,0.444444444444444,0.604166666666667,0.72463768115942,0.461538461538462,0.591836734693877
"BGD",0.5625,0.666666666666667,0.627450980392157,0.66,0.604651162790698,0.66,0.604166666666667,0.58695652173913,0.625,0,0.590909090909091,0.604651162790698,0.545454545454545,0.672413793103448,0.52,0.555555555555556,0.595744680851064,0.604651162790698,0.652173913043478,0.581395348837209,0.511627906976744,0.547619047619048,0.585365853658537,0.604651162790698,0.541666666666667,0.55,0.55,0.680851063829787,0.595744680851064,0.574468085106383,0.558139534883721,0.571428571428572,0.659574468085106,0.604651162790698,0.612244897959184,0.627906976744186,0.574468085106383,0.583333333333333,0.66,0.604651162790698,0.568181818181818,0.51219512195122,0.558139534883721,0.634615384615385,0.644444444444444,0.55,0.55,0.62,0.66,0.7,0.627906976744186,0.702127659574468,0.705882352941176,0.558139534883721,0.555555555555556,0.627906976744186,0.73469387755102,0.680851063829787,0.653061224489796,0.533333333333333,0.58695652173913,0.522727272727273,0.63265306122449,0.692307692307692,0.673469387755102,0.51219512195122,0.585365853658537,0.571428571428572,0.510204081632653,0.680851063829787,0.560975609756098,0.703703703703704,0.555555555555556,0.5,0.647058823529412,0.63265306122449,0.558139534883721,0.55,0.547619047619048,0.617021276595745,0.551020408163265,0.66,0.607142857142857,0.642857142857143,0.55,0.604651162790698,0.625,0.6,0.545454545454545,0.604651162790698,0.577777777777778,0.581395348837209,0.63265306122449,0.558139534883721,0.659574468085106,0.63265306122449,0.555555555555556,0.55,0.555555555555556,0.62,0.616666666666667,0.673469387755102,0.545454545454545,0.595744680851064,0.555555555555556,0.673469387755102,0.645833333333333,0.553191489361702,0.608695652173913,0.62,0.604651162790698,0.551020408163265,0.666666666666667,0.577777777777778,0.596153846153846
