"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","FRA","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","LSO","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SWZ","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"AFG",0,0.610017147174322,1.75201782759087,2.87146293292742,2.44034908230387,3.36814556599046,0.595236862401575,0.472637651483241,0.307860929747737,0.301181337871404,2.36832196634191,1.22234977608256,2.01882029923433,1.70267816597978,0.483532989292844,3.36987967603526,3.37111131423027,2.74171478034617,2.04637473618706,0.300812019221334,0.300902436032138,1.2498384886308,0.910230614552968,2.06332103601385,0.458445431443735,2.21881154099696,1.46596625206451,2.7239169483068,3.17559766161179,3.35095943805392,1.37820144678335,1.75100501570212,1.53625266735365,3.0160609142917,0.0408578622536506,3.34713821222709,3.23422146968438,1.47855447212248,3.3434087417041,0.722050378807394,0.325206019573549,0.182627602512802,0.342810338483459,3.23382041681664,2.8991610791577,1.64267717511896,0.983482547011521,2.31825083540626,1.61160382968253,1.2229271909592,3.3320508439011,1.93449967730685,0.609016522878434,3.07171353006012,3.10896212650604,3.23954671085772,0.247254339578703,1.01279802138274,3.1587432868396,0.652907500914973,1.63409404375096,0.0805718268575966,1.72617657799575,0.809380140873809,1.47089628555843,0.15848120134704,2.21720146556721,0.158324855920056,1.27408988140531,0.141882756858379,1.01583035823521,0.402332082500877,0.271541200342135,2.43112087859526,1.66027551768125,0.511974392547908,0.677639375630942,0.655712659822659,3.36393379468555,3.48922652150207,0.266221918438334,3.07843304759749,2.37727155515863,1.03964835491504,2.03893345861634,1.82244422518247,1.20125533970249,2.46155085954665,2.82046557070712,1.33288643407549,1.75804620416325,2.20460202181957,0.160398961386517,2.44435461654731,1.25507275492994,0.541810006358667,0.23565733881869,1.2191276261747,0.118396777745561,3.36667340922578,1.28804436309413,2.16286788169187,0.207929304721214,0.360963493394395,2.32919550350061,1.95164272797632,2.23575979491161,0.150476193888916,0.223730391464845,3.58263547264123,2.50820920770981,1.21419387716251,1.75958486188653,0.168370577982765,0.273826181717262
"AGO",0.610017147174322,0,1.14200068041655,2.2614457857531,1.83033193512955,2.75812841881614,1.2052540095759,0.13737949569108,0.302156217426584,0.308835809302917,1.75830481916759,0.61233262890824,1.40880315206001,1.09266101880546,1.09355013646717,2.75986252886094,2.76109416705595,2.13169763317185,1.43635758901274,0.309205127952987,0.309114711142183,1.85985563580512,0.300213467378646,1.45330388883953,1.06846257861806,1.60879439382264,0.855949104890184,2.11389980113248,2.56558051443747,2.7409422908796,0.768184299609029,1.1409878685278,0.926235520179333,2.40604376711738,0.650875009427972,2.73712106505277,2.62420432251005,0.868537324948155,2.73339159452978,0.112033231633072,0.93522316674787,0.42738954466152,0.952827485657781,2.62380326964232,2.28914393198338,1.03266002794464,0.373465399837199,1.70823368823194,1.00158668250821,0.612910043784877,2.72203369672678,1.32448253013252,0.00100062429588732,2.46169638288579,2.49894497933172,2.6295295636834,0.362762807595619,0.402780874208414,2.54872613966527,0.0428903537406509,1.02407689657664,0.690588974031918,1.11615943082143,0.199362993699488,0.860879138384112,0.768498348521362,1.60718431839289,0.451692291254266,0.664072734230992,0.468134390315942,0.405813211060889,0.207685064673445,0.881558347516457,1.82110373142094,1.05025837050693,1.12199153972223,0.0676222284566199,0.0456955126483374,2.75391664751123,2.87920937432775,0.343795228735988,2.46841590042317,1.76725440798431,0.429631207740717,1.42891631144202,1.21242707800815,0.591238192528168,1.85153371237233,2.2104484235328,0.722869286901171,1.14802905698893,1.59458487464525,0.449618185787805,1.83433746937299,0.645055607755623,0.0682071408156544,0.845674485993012,0.60911047900038,0.491620369428761,2.75665626205146,0.678027215919812,1.55285073451755,0.817946451895535,0.970980640568716,1.71917835632629,1.341625580802,1.62574264773729,0.760493341063238,0.386286755709476,2.9726183254669,1.89819206053549,0.604176729988192,1.1495677147122,0.778387725157087,0.883843328891584
"ALB",1.75201782759087,1.14200068041655,0,1.11944510533655,0.688331254713001,1.61612773839959,2.34725468999244,1.27938017610763,1.44415689784313,1.45083648971946,0.616304138751042,0.529668051508306,0.26680247164346,0.0493396616110839,2.23555081688371,1.61786184844439,1.61909348663941,0.989696952755303,0.294356908596194,1.45120580836953,1.45111539155873,3.00185631622167,0.841787213037899,0.311303208422983,2.2104632590346,0.466793713406094,0.286051575526361,0.971899120715937,1.42357983402093,1.59894161046305,0.373816380807517,0.0010128118887458,0.215765160237213,1.26404308670083,1.79287568984452,1.59512038463622,1.48220364209351,0.27346335546839,1.59139091411324,1.02996744878347,2.07722384716442,1.56939022507807,2.09482816607433,1.48180258922578,1.14714325156683,0.109340652471904,0.768535280579346,0.566233007815397,0.140413997908333,0.529090636631668,1.58003301631024,0.182481849715979,1.14300130471243,1.31969570246925,1.35694429891517,1.48752888326685,1.50476348801216,0.739219806208132,1.40672545924873,1.09911032667589,0.11792378383991,1.83258965444846,0.0258412495951159,0.942637686717058,0.281121542032434,1.91049902893791,0.465183637976342,1.59369297167081,0.477927946185554,1.61013507073249,0.736187469355657,1.34968574508999,2.023559027933,0.679103051004391,0.0917423099096162,2.26399222013878,1.07437845195993,1.09630516776821,1.61191596709468,1.7372086939112,1.48579590915253,1.32641522000663,0.625253727567763,0.712369472675829,0.286915631025474,0.0704263975916071,0.550762487888377,0.709533031955784,1.06844774311626,0.419131393515375,0.00602837657238453,0.452584194228702,1.59161886620435,0.692336788956442,0.496945072660923,1.2102078212322,1.98767516640956,0.532890201416166,1.63362104984531,1.61465558163491,0.463973464496734,0.410850054101001,1.95994713231208,2.11298132098526,0.57717767590974,0.199624900385452,0.483741967320741,1.90249402147978,1.52828743612602,1.83061764505036,0.756191380118944,0.537823950428353,0.00756703429565775,1.92038840557363,2.02584400930813
"ARE",2.87146293292742,2.2614457857531,1.11944510533655,0,0.431113850623554,0.496682633063037,3.466699795329,2.39882528144418,2.56360200317968,2.57028159505602,0.503140966585512,1.64911315684486,0.852642633693094,1.16878476694764,3.35499592222027,0.498416743107839,0.499648381302853,0.129748152581252,0.82508819674036,2.57065091370609,2.57056049689528,4.12130142155822,1.96123231837445,0.808141896913572,3.32990836437116,0.65265139193046,1.40549668086292,0.147545984620617,0.304134728684371,0.4794965051265,1.49326148614407,1.1204579172253,1.33521026557377,0.14459798136428,2.91232079518107,0.47567527929967,0.362758536756955,1.39290846080494,0.471945808776681,2.14941255412003,3.19666895250097,2.68883533041462,3.21427327141088,0.362357483889223,0.0276981462302768,1.22878575780846,1.8879803859159,0.553212097521158,1.25985910324489,1.64853574196822,0.460587910973683,0.936963255620576,2.26244641004899,0.200250597132694,0.237499193578619,0.368083777930297,2.62420859334872,1.85866491154469,0.287280353912173,2.21855543201245,1.23736888917646,2.95203475978502,1.14528635493167,2.06208279205361,1.40056664736899,3.02994413427446,0.654261467360213,2.71313807700737,1.59737305152211,2.72958017606904,1.85563257469221,2.46913085042655,3.14300413326956,0.440342054332163,1.21118741524617,3.38343732547533,2.19382355729648,2.21575027310476,0.492470861758131,0.617763588574649,2.60524101448909,0.206970114670071,0.494191377768791,1.83181457801238,0.83252947431108,1.04901870774495,1.67020759322493,0.40991207338077,0.050997362220297,1.53857649885193,1.11341672876417,0.666860911107852,2.7110639715409,0.427108316380112,1.61639017799748,2.32965292656875,3.10712027174611,1.65233530675272,2.75306615518186,0.495210476298356,1.58341856983329,0.708595051235553,3.07939223764864,3.23242642632182,0.542267429426815,0.919820204951103,0.635703138015813,3.02193912681634,2.64773254146258,0.711172539713804,0.363253725217611,1.65726905576491,1.1118780710409,3.03983351091019,3.14528911464468
"ARG",2.44034908230387,1.83033193512955,0.688331254713001,0.431113850623554,0,0.92779648368659,3.03558594470544,1.96771143082063,2.13248815255613,2.13916774443246,0.0720271159619585,1.21799930622131,0.42152878306954,0.737670916324085,2.92388207159671,0.929530593731393,0.930762231926407,0.301365698042302,0.393974346116806,2.13953706308253,2.13944664627173,3.69018757093467,1.5301184677509,0.377028046290018,2.8987945137476,0.221537541306907,0.974382830239362,0.283567866002937,0.735248579307925,0.910610355750054,1.06214763552052,0.689344066601747,0.904096414950214,0.575711831987833,2.48120694455752,0.906789129923224,0.793872387380508,0.961794610181391,0.903059659400235,1.71829870349647,2.76555510187742,2.25772147979107,2.78315942078733,0.793471334512777,0.45881199685383,0.797671907184904,1.45686653529235,0.122098246897604,0.828745252621333,1.21742189134467,0.891701761597236,0.505849404997022,1.83133255942543,0.631364447756248,0.668613044202173,0.79919762855385,2.19309474272517,1.42755106092113,0.718394204535727,1.7874415813889,0.80625503855291,2.52092090916146,0.714172504308117,1.63096894143006,0.969452796745434,2.59883028365091,0.223147616736659,2.28202422638381,1.16625920089855,2.29846632544549,1.42451872406866,2.03801699980299,2.711890282646,0.00922820370860933,0.780073564622617,2.95232347485178,1.76270970667293,1.78463642248121,0.923584712381684,1.0488774391982,2.17412716386553,0.638083965293625,0.0630775271452375,1.40070072738883,0.401415623687527,0.617904857121394,1.23909374260138,0.0212017772427835,0.380116488403257,1.10746264822838,0.682302878140616,0.235747060484298,2.27995012091735,0.00400553424344174,1.18527632737392,1.8985390759452,2.67600642112256,1.22122145612917,2.32195230455831,0.926324326921909,1.15230471920973,0.277481200612,2.64827838702508,2.80131257569826,0.111153578803261,0.488706354327549,0.20458928739226,2.59082527619278,2.21661869083902,1.14228639033736,0.067860125405943,1.22615520514135,0.680764220417343,2.60871966028663,2.71417526402113
"AUS",3.36814556599046,2.75812841881614,1.61612773839959,0.496682633063037,0.92779648368659,0,3.96338242839203,2.89550791450722,3.06028463624272,3.06696422811905,0.999823599648549,2.1457957899079,1.34932526675613,1.66546740001067,3.8516785552833,0.00173411004480251,0.00296574823981643,0.626430785644288,1.3217708298034,3.06733354676912,3.06724312995832,4.61798405462126,2.45791495143749,1.30482452997661,3.82659099743419,1.1493340249935,1.90217931392595,0.644228617683654,0.192547904378666,0.0171861279365366,1.98994411920711,1.61714055028834,1.8318928986368,0.352084651698757,3.40900342824411,0.0210073537633662,0.133924096306082,1.88959109386798,0.0247368242863555,2.64609518718306,3.69335158556401,3.18551796347766,3.71095590447392,0.134325149173813,0.46898448683276,1.72546839087149,2.38466301897894,1.04989473058419,1.75654173630792,2.14521837503126,0.0360947220893539,1.43364588868361,2.75912904311202,0.296432035930343,0.259183439484417,0.12859885513274,3.12089122641176,2.35534754460772,0.209402279150863,2.71523806507549,1.7340515222395,3.44871739284805,1.64196898799471,2.55876542511665,1.89724928043202,3.5266267673375,1.15094410042325,3.2098207100704,2.09405568458515,3.22626280913208,2.35231520775525,2.96581348348958,3.63968676633259,0.9370246873952,1.70787004830921,3.88011995853837,2.69050619035952,2.7124329061678,0.00421177130490591,0.121080955511612,3.10192364755212,0.289712518392966,0.990874010831828,2.32849721107542,1.32921210737412,1.54570134080798,2.16689022628797,0.906594706443807,0.547679995283334,2.03525913191497,1.61009936182721,1.16354354417089,3.20774660460394,0.923790949443148,2.11307281106051,2.82633555963179,3.60380290480915,2.14901793981576,3.2497487882449,0.00147215676468093,2.08010120289632,1.20527768429859,3.57607487071167,3.72910905938485,1.03895006248985,1.41650283801414,1.13238577107885,3.51862175987937,3.14441517452561,0.214489906650767,0.859936358280647,2.15395168882794,1.60856070410393,3.53651614397322,3.64197174770772
"BDI",0.595236862401575,1.2052540095759,2.34725468999244,3.466699795329,3.03558594470544,3.96338242839203,0,1.06787451388482,0.903097792149312,0.896418200272979,2.96355882874348,1.81758663848414,2.6140571616359,2.29791502838136,0.111703873108731,3.96511653843684,3.96634817663185,3.33695164274774,2.64161159858864,0.896048881622909,0.896139298433713,0.654601626229228,1.50546747695454,2.65855789841542,0.13679143095784,2.81404840339854,2.06120311446608,3.31915381070838,3.77083452401337,3.9461963004555,1.97343830918493,2.3462418781037,2.13148952975523,3.61129777669328,0.554379000147924,3.94237507462867,3.82945833208595,2.07379133452405,3.93864560410568,1.31728724120897,0.270030842828026,0.777864464914376,0.252426523918116,3.82905727921822,3.49439794155927,2.23791403752054,1.5787194094131,2.91348769780784,2.20684069208411,1.81816405336077,3.92728770630268,2.52973653970842,1.20425338528001,3.66695039246169,3.70419898890762,3.83478357325929,0.842491201980278,1.60803488378431,3.75398014924117,1.24814436331655,2.22933090615253,0.514665035543978,2.32141344039733,1.40461700327538,2.06613314796001,0.436755661054534,2.81243832796878,0.753561718321631,1.86932674380689,0.737119619259954,1.61106722063679,0.997568944902452,0.32369566205944,3.02635774099683,2.25551238008283,0.0832624698536666,1.27287623803252,1.25094952222423,3.95917065708713,4.08446338390365,0.861458780839909,3.67366990999907,2.97250841756021,1.63488521731661,2.63417032101792,2.41768108758405,1.79649220210406,3.05678772194823,3.4157024331087,1.92812329647707,2.35328306656483,2.79983888422114,0.755635823788092,3.03959147894888,1.85030961733152,1.13704686876024,0.359579523582885,1.81436448857628,0.713633640147136,3.96191027162735,1.88328122549571,2.75810474409344,0.387307557680361,0.23427336900718,2.92443236590218,2.54687959037789,2.83099665731318,0.444760668512659,0.81896725386642,4.1778723350428,3.10344607011139,1.80943073956409,2.3548217242881,0.42686628441881,0.321410680684313
"BEN",0.472637651483241,0.13737949569108,1.27938017610763,2.39882528144418,1.96771143082063,2.89550791450722,1.06787451388482,0,0.164776721735504,0.171456313611837,1.89568431485867,0.74971212459932,1.54618264775109,1.23004051449654,0.956170640776086,2.89724202455202,2.89847366274703,2.26907712886293,1.57373708470382,0.171825632261907,0.171735215451103,1.72247614011404,0.437592963069727,1.59068338453061,0.931083082926977,1.74617388951372,0.993328600581265,2.25127929682356,2.70296001012855,2.87832178657068,0.905563795300109,1.27836736421888,1.06361501587041,2.54342326280846,0.513495513736892,2.87450056074385,2.76158381820114,1.00591682063924,2.87077109022086,0.249412727324152,0.79784367105679,0.29001004897044,0.8154479899667,2.7611827653334,2.42652342767446,1.17003952363572,0.51084489552828,1.84561318392302,1.13896617819929,0.750289539475958,2.85941319241786,1.4618620258236,0.136378871395193,2.59907587857687,2.6363244750228,2.76690905937448,0.225383311904539,0.540160369899494,2.68610563535635,0.180269849431731,1.16145639226772,0.553209478340838,1.25353892651251,0.336742489390568,0.998258634075192,0.631118852830282,1.74456381408397,0.314312795563185,0.801452229922072,0.330754894624862,0.543192706751969,0.0703055689823646,0.744178851825376,1.95848322711202,1.18763786619801,0.98461204403115,0.2050017241477,0.183075008339418,2.89129614320231,3.01658887001883,0.206415733044907,2.60579539611425,1.90463390367539,0.567010703431797,1.5662958071331,1.34980657369923,0.728617688219249,1.98891320806341,2.34782791922388,0.860248782592251,1.28540855268001,1.73196437033633,0.312238690096724,1.97171696506407,0.782435103446703,0.0691723548754259,0.708294990301932,0.74648997469146,0.35424087373768,2.89403575774254,0.815406711610892,1.69023023020863,0.680566956204455,0.833601144877636,1.85655785201737,1.47900507649308,1.76312214342837,0.623113845372157,0.248907260018396,3.10999782115798,2.03557155622657,0.741556225679273,1.28694721040328,0.641008229466006,0.746463833200504
"BFA",0.307860929747737,0.302156217426584,1.44415689784313,2.56360200317968,2.13248815255613,3.06028463624272,0.903097792149312,0.164776721735504,0,0.00667959187633294,2.06046103659417,0.914488846334824,1.71095936948659,1.39481723623205,0.791393919040582,3.06201874628752,3.06325038448254,2.43385385059843,1.73851380643932,0.00704891052640289,0.00695849371559909,1.55769941837854,0.602369684805231,1.75546010626611,0.766306361191472,1.91095061124922,1.15810532231677,2.41605601855907,2.86773673186406,3.04309850830618,1.07034051703561,1.44314408595438,1.22839173760592,2.70819998454396,0.348718792001388,3.03927728247935,2.92636053993664,1.17069354237474,3.03554781195637,0.414189449059656,0.633066949321286,0.125233327234936,0.650671268231196,2.92595948706891,2.59130014940996,1.33481624537123,0.675621617263784,2.01038990565853,1.3037428999348,0.915066261211462,3.02418991415337,1.62663874755911,0.301155593130697,2.76385260031238,2.8011011967583,2.93168578110998,0.0606065901690345,0.704937091634998,2.85088235709186,0.345046571167235,1.32623311400322,0.388432756605334,1.41831564824801,0.501519211126072,1.1630353558107,0.466342131094778,1.90934053581947,0.149536073827681,0.966228951657576,0.165978172889358,0.707969428487473,0.0944711527531394,0.579402130089872,2.12325994884752,1.35241458793351,0.819835322295646,0.369778445883204,0.347851730074922,3.05607286493782,3.18136559175433,0.0416390113094032,2.77057211784976,2.06941062541089,0.731787425167301,1.7310725288686,1.51458329543474,0.893394409954753,2.15368992979891,2.51260464095939,1.02502550432775,1.45018527441551,1.89674109207183,0.14746196836122,2.13649368679957,0.947211825182207,0.23394907661093,0.543518268566427,0.911266696426964,0.189464152002176,3.05881247947804,0.980183433346396,1.85500695194413,0.515790234468951,0.668824423142132,2.02133457375287,1.64378179822858,1.92789886516387,0.458337123636653,0.0841305382828921,3.27477454289349,2.20034827796207,0.906332947414777,1.45172393213879,0.476231507730502,0.581687111465
"BGD",0.301181337871404,0.308835809302917,1.45083648971946,2.57028159505602,2.13916774443246,3.06696422811905,0.896418200272979,0.171456313611837,0.00667959187633294,0,2.06714062847051,0.921168438211157,1.71763896136292,1.40149682810838,0.784714327164249,3.06869833816386,3.06992997635887,2.44053344247477,1.74519339831566,0.00036931865006995,0.000278901839266155,1.55101982650221,0.609049276681564,1.76213969814245,0.75962676931514,1.91763020312556,1.1647849141931,2.4227356104354,2.87441632374039,3.04977810018252,1.07702010891195,1.44982367783072,1.23507132948225,2.7148795764203,0.342039200125055,3.04595687435569,2.93304013181297,1.17737313425107,3.0422274038327,0.420869040935989,0.626387357444953,0.118553735358603,0.643991676354863,2.93263907894524,2.59797974128629,1.34149583724756,0.682301209140117,2.01706949753486,1.31042249181113,0.921745853087795,3.0308695060297,1.63331833943544,0.30783518500703,2.77053219218871,2.80778078863464,2.93836537298631,0.0539269982927015,0.711616683511331,2.85756194896819,0.351726163043568,1.33291270587955,0.381753164729001,1.42499524012435,0.508198803002405,1.16971494768703,0.459662539218445,1.9160201276958,0.142856481951348,0.972908543533909,0.159298581013025,0.714649020363806,0.101150744629472,0.572722538213539,2.12993954072385,1.35909417980985,0.813155730419313,0.376458037759537,0.354531321951255,3.06275245681415,3.18804518363067,0.0349594194330702,2.77725170972609,2.07609021728723,0.738467017043634,1.73775212074494,1.52126288731107,0.900074001831086,2.16036952167525,2.51928423283572,1.03170509620409,1.45686486629185,1.90342068394817,0.140782376484887,2.14317327867591,0.95389141705854,0.240628668487263,0.536838676690095,0.917946288303297,0.182784560125843,3.06549207135437,0.986863025222729,1.86168654382046,0.509110642592618,0.662144831265799,2.0280141656292,1.65046139010491,1.9345784570402,0.45165753176032,0.0774509464065591,3.28145413476982,2.20702786983841,0.91301253929111,1.45840352401512,0.469551915854169,0.575007519588667
