"","Afghanistan","Afr.Other NS","Africa N.NES","Albania","Algeria","Angola","Areas NES","Argentina","Armenia","Asia NES","Asia West NS","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium-Lux","Belize","Benin","Bermuda","Bolivia","Bosnia Herzg","Br.Antr.Terr","Brazil","Bulgaria","Burkina Faso","Burundi","CACM NES","Cambodia","Cameroon","Canada","Carib. NES","Cent.Afr.Rep","Chad","Chile","China","China HK SAR","China MC SAR","China SC","Colombia","Congo","Costa Rica","Cote Divoire","Croatia","Cuba","Cyprus","Czech Rep","Czechoslovak","Dem.Rp.Congo","Denmark","Djibouti","Dominican Rp","E Europe NES","Ecuador","EEC NES","Egypt","El Salvador","Eq.Guinea","Estonia","Ethiopia","Eur. EFTA NS","Eur.Other NE","Falkland Is","Fiji","Finland","Fm USSR","Fm Yugoslav","Fr Ind O","Fr.Guiana","France,Monac","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Guadeloupe","Guatemala","Guinea","GuineaBissau","Guyana","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Int Org","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea D P Rp","Korea Rep.","Kuwait","Kyrgyzstan","LAIA NES","Lao P.Dem.R","Latvia","Lebanon","Liberia","Libya","Lithuania","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Nepal","Neth.Ant.Aru","Netherlands","Neutral Zone","New Calednia","New Zealand","Nicaragua","Niger","Nigeria","Norway","Occ.Pal.Terr","Oman","Oth.Oceania","Pakistan","Panama","Papua N.Guin","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Rep Moldova","Romania","Russian Fed","Rwanda","Samoa","Saudi Arabia","Senegal","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Somalia","South Africa","Spain","Sri Lanka","St.Helena","St.Kt-Nev-An","St.Pierre Mq","Sudan","Suriname","Sweden","Switz.Liecht","Syria","Taiwan","Tajikistan","Tanzania","TFYR Macedna","Thailand","Togo","Trinidad Tbg","Tunisia","Turkey","Turkmenistan","Uganda","UK","Ukraine","Untd Arab Em","Uruguay","US NES","USA","Uzbekistan","Venezuela","Viet Nam","World","Yemen","Yugoslavia","Zambia","Zimbabwe"
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255,1196,NA,NA,NA,NA,NA,NA,17470,NA,NA,NA,NA,NA,NA,2896,8048,NA,NA,NA,NA,NA,1929,NA,NA,NA,380,29683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102,NA,NA,2376,NA,NA,NA,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5229,NA,NA,NA,NA,21022,NA,NA,NA,24372,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,1714,NA,31667,6755,NA,16297,NA,1177,NA,3527,NA,84088,NA,14623,NA,NA,NA,38567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8752,NA,NA,NA,NA,3024,NA,NA,NA,NA,NA,NA,8370,NA,NA,NA,NA,NA,NA,1132,NA,NA,NA,55472,NA,NA,NA,NA,NA,1804,424,NA,NA,NA,20800,NA,NA,2336,NA,NA,NA,23413,1678,968,NA,NA,2963,NA,NA,NA,NA,NA,NA,975,2358,NA,NA,NA,NA,NA,11729,NA,NA,NA,4783,NA,NA,15632,NA,991,NA,NA,14595,NA,NA,NA,448267,NA,NA,NA,NA
"Afr.Other NS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3680,2628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,NA,NA,NA,NA,112317,NA,NA,NA,NA,909,NA,NA,8949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667183,NA,NA,NA,NA
"Africa N.NES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16309,NA,NA,NA,NA
"Albania",NA,NA,NA,NA,6236,NA,NA,NA,NA,NA,NA,482,8463,NA,NA,NA,NA,NA,NA,18491,NA,NA,NA,NA,NA,NA,1196,29183,NA,NA,NA,NA,NA,1659,NA,NA,NA,1123,11398,NA,NA,NA,1179,NA,NA,NA,NA,NA,NA,6247,NA,NA,5635,NA,NA,NA,3266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3352,NA,NA,NA,NA,38955,NA,NA,NA,60045,NA,NA,211979,NA,NA,NA,NA,NA,NA,NA,NA,9233,NA,723,2146,NA,NA,NA,1863,NA,358085,NA,3540,NA,NA,NA,NA,NA,56235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,NA,NA,NA,NA,1820,NA,1162,NA,NA,NA,NA,8631,NA,NA,NA,NA,NA,NA,2056,NA,NA,NA,1608,NA,NA,NA,NA,NA,2464,413,NA,NA,9554,3669,NA,NA,NA,NA,NA,NA,NA,890,5688,NA,1132,6490,NA,NA,NA,NA,NA,NA,3206,5206,NA,NA,NA,NA,NA,1286,NA,NA,NA,43403,NA,NA,10509,NA,NA,NA,NA,26724,NA,NA,NA,878559,NA,NA,NA,NA
"Algeria",NA,NA,NA,6236,NA,NA,NA,79241,NA,NA,NA,35115,359621,NA,18365,NA,3595,NA,NA,745096,NA,1222,NA,NA,NA,NA,747475,41828,NA,NA,NA,4889,5677,692153,NA,NA,3067,8148,183551,4213,NA,NA,11184,NA,2592,NA,12876,30461,12953,58377,NA,NA,42830,NA,9247,NA,12723,NA,38438,NA,NA,NA,NA,NA,NA,NA,NA,69043,150368,139437,NA,NA,3945410,3639,NA,NA,1716440,5294,NA,53425,NA,NA,NA,2819,NA,NA,NA,NA,34548,NA,24238,110895,NA,25061,15894,30019,NA,3629197,NA,404228,20974,NA,NA,NA,8287,194115,2760,NA,NA,83289,NA,8359,10206,5052,NA,NA,NA,24742,4827,22012,25743,NA,120765,NA,160118,NA,NA,NA,NA,972394,NA,16904,NA,NA,653,11272,25183,NA,1654,NA,4727,10326,NA,26364,10161,7433,77157,175829,NA,NA,36575,215433,NA,NA,20049,4663,NA,NA,39729,NA,64079,NA,13053,2046975,4984,NA,1824,NA,4673,18532,106078,185171,60714,28883,9025,13725,NA,21033,1225,NA,181244,724945,NA,5408,484659,70424,13301,NA,3644,3104048,NA,6810,21787,22520525,NA,26025,NA,NA
"Angola",NA,NA,NA,NA,NA,NA,NA,21540,NA,NA,NA,7664,9020,NA,NA,NA,NA,NA,NA,352246,NA,NA,NA,NA,NA,NA,126666,423,NA,NA,NA,NA,NA,33217,NA,NA,NA,61266,417995,575,NA,NA,3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6250,NA,NA,NA,NA,341469,NA,NA,NA,163497,NA,NA,1655,NA,NA,NA,NA,NA,NA,NA,NA,11559,NA,NA,NA,NA,NA,NA,3441,NA,129335,NA,56558,NA,NA,NA,NA,NA,279100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126,NA,4743,NA,NA,NA,NA,94723,NA,NA,NA,NA,NA,8136,14868,NA,NA,NA,NA,NA,NA,NA,NA,3698,NA,453081,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,29835,NA,NA,NA,185706,222877,NA,NA,NA,NA,NA,NA,NA,23337,NA,NA,NA,NA,NA,24051,NA,NA,NA,NA,NA,NA,126048,NA,NA,NA,NA,2791133,NA,NA,NA,6032777,NA,NA,NA,NA
"Areas NES",NA,NA,NA,NA,NA,NA,NA,569275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750634,420814,NA,NA,NA,NA,NA,NA,NA,NA,NA,361522,727599,103810,NA,NA,220840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1457762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96739,NA,16577680,NA,NA,NA,NA,NA,NA,NA,15751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20239,NA,NA,NA,NA,NA,NA,NA,177044,NA,NA,58747,1151068,NA,1108442,NA,50765,NA,NA,NA,46951,3070,NA,80898,1876791,NA,153291,NA,NA,NA,NA,NA,NA,NA,NA,90610,20763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543975,NA,111885423,NA,NA,NA,NA
"Argentina",NA,NA,NA,NA,79241,21540,569275,NA,NA,NA,NA,140605,89221,NA,5612,17648,98385,1114,3334,571415,NA,1200,2427,382114,546,NA,10125098,24653,NA,NA,NA,325,2421,367236,NA,NA,NA,2031137,1110761,345340,NA,NA,243964,5675,25738,36521,8418,83670,20281,32180,40090,5097,265912,NA,53515,NA,154611,NA,274952,13639,NA,5031,NA,NA,NA,NA,NA,128975,247334,40139,NA,NA,1531764,19560,NA,5883,2271198,4161,4820,87187,NA,NA,26603,NA,NA,664,NA,5562,31451,915,223288,207017,NA,407806,NA,73335,132148,1945391,6885,1376926,39883,3019,26775,NA,NA,630167,20848,NA,NA,NA,15237,NA,9089,35646,13561,3898,6249,275010,NA,8843,NA,15939,644103,NA,85870,15460,2609,1633,75526,833371,NA,NA,47044,3123,NA,68885,61639,NA,13092,NA,89563,70198,NA,664996,328769,35766,86891,162156,15423,NA,58683,265489,NA,NA,52599,6626,NA,NA,181404,18994,17630,NA,288168,1633158,16656,NA,3582,NA,4313,8676,269780,296196,51058,410200,NA,NA,NA,210467,NA,14482,69752,155308,1642,NA,755382,27355,28142,1062636,16334,6535858,861,298168,21048,42576728,13215,14885,4904,10973
"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1867,NA,NA,NA,NA,NA,NA,85301,NA,NA,NA,NA,NA,NA,409,12145,NA,NA,NA,NA,NA,1233,NA,NA,NA,NA,12339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6656,NA,NA,NA,NA,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13863,NA,NA,NA,30013,NA,NA,12063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,4170,NA,67717,NA,2541,7002,13275,NA,2177,NA,4654,NA,NA,NA,1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6598,NA,NA,NA,NA,NA,NA,NA,NA,924,NA,886,NA,NA,NA,NA,NA,2332,704,NA,NA,2298,109094,NA,NA,861,NA,NA,NA,NA,NA,NA,NA,NA,3747,NA,NA,NA,NA,NA,NA,5161,1491,NA,NA,NA,NA,NA,482,NA,NA,NA,NA,NA,NA,5731,NA,NA,NA,NA,54785,NA,NA,NA,349651,NA,NA,NA,NA
"Asia NES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76208,5164,NA,NA,NA,NA,NA,NA,4622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3447,NA,NA,NA,377,33315,8680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78954,NA,NA,NA,68830,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25220,49521,NA,NA,NA,1641,NA,37769,NA,1455556,NA,NA,NA,NA,NA,385047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17610,NA,NA,24934,NA,NA,NA,2172,NA,NA,NA,2379,NA,NA,NA,NA,38240,2110,567,NA,NA,NA,NA,NA,NA,1040,NA,NA,NA,1081271,NA,NA,NA,82833,1731,NA,NA,NA,NA,NA,NA,3741,48190,NA,NA,NA,NA,NA,250618,NA,NA,NA,7344,NA,NA,783677,NA,NA,NA,NA,378959,NA,NA,NA,5092977,NA,NA,NA,NA
